Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2023 US Open R128,W vs Strycova,0.0%,-,6.8%,55.6%,14.9%,25.0%,0.0%,13.5%,26.3%,0.8%,50.0%,71,57
2023 Roland Garros R128,L vs Keys,0.0%,-,5.4%,87.5%,7.6%,9.1%,25.0%,9.4%,40.0%,1.8%,100.0%,-28,-13
2023 Miami R128,L vs Giorgi,0.0%,-,1.1%,66.7%,11.5%,24.0%,0.0%,12.1%,35.0%,2.1%,42.9%,46,90
2022 Guadalajara R64,L vs Samsonova,0.0%,-,1.7%,100.0%,25.8%,50.0%,0.0%,9.7%,40.0%,0.0%,-,-26,41
2022 US Open R64,L vs Sabalenka,0.0%,-,6.5%,84.6%,18.1%,20.7%,66.7%,13.7%,14.3%,0.9%,0.0%,55,74
2022 Washington F,L vs Samsonova,0.0%,-,2.1%,100.0%,20.8%,26.7%,0.0%,6.5%,9.1%,0.0%,-,73,90
2022 Australian Open QF,L vs Swiatek,0.0%,-,8.9%,66.7%,13.0%,24.0%,20.0%,10.3%,27.3%,0.0%,-,82,60
2022 Australian Open R16,W vs Sabalenka,0.0%,-,2.3%,60.0%,22.9%,34.1%,100.0%,9.5%,42.9%,0.0%,-,60,66
2021 US Open R64,L vs Fernandez,0.0%,-,5.8%,60.0%,16.8%,41.7%,22.2%,14.6%,17.6%,0.0%,-,74,55
2021 Gippsland Trophy F,L vs Mertens,0.0%,-,13.5%,61.5%,18.8%,27.8%,0.0%,5.6%,21.1%,0.0%,-,36,37
2021 Gippsland Trophy R32,W vs Sabalenka,0.0%,-,4.5%,85.7%,12.2%,28.0%,0.0%,17.3%,36.4%,0.5%,0.0%,53,41
2019 Moscow R16,L vs Bertens,0.0%,-,8.8%,61.1%,12.7%,24.1%,25.0%,4.0%,10.7%,0.8%,66.7%,-8,13
2019 US Open R64,L vs Vekic,0.0%,-,2.1%,66.7%,13.1%,0.0%,0.0%,5.6%,0.0%,0.4%,0.0%,16,-3
2019 Roland Garros R32,W vs Kudermetova,0.0%,-,9.1%,75.0%,11.1%,18.4%,20.0%,8.1%,28.6%,0.8%,100.0%,-23,10
2019 Australian Open R128,L vs Halep,0.0%,-,6.7%,84.6%,19.0%,27.5%,100.0%,9.8%,27.0%,0.3%,0.0%,116,90
2018 US Open R32,W vs Peterson,0.0%,-,9.9%,62.5%,7.5%,14.6%,12.5%,6.8%,28.6%,1.3%,40.0%,-22,-39
2018 US Open R128,W vs Halep,0.0%,-,13.1%,71.4%,19.5%,27.3%,0.0%,11.7%,33.3%,1.4%,66.7%,130,108
2018 Cincinnati R32,L vs Barty,0.0%,-,7.4%,40.0%,20.0%,21.2%,25.0%,5.9%,5.6%,0.5%,0.0%,53,62
2018 Brisbane QF,L vs Pliskova,0.0%,-,4.0%,100.0%,20.2%,48.5%,0.0%,10.0%,30.0%,0.0%,-,38,47
2017 US Open QF,L vs Keys,0.0%,-,6.0%,71.4%,9.4%,15.0%,0.0%,7.8%,30.0%,0.0%,-,70,47
Career (28 matches),,0.0%,0.0%,5.9%,69.4%,14.7%,24.3%,19.4%,8.3%,23.2%,0.6%,40.5%,33,41
