Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Brazzaville CH R32,W vs Momo Kassa,11,2,5.5,19.6%,3.6%,6,1,6.0,14.3%,2.4%,11.9%,0.0%,0.0,1.8%,42.9%
2022 Amersfoort CH R32,W vs Skatov,41,48,0.9,22.4%,26.2%,30,43,0.7,18.0%,25.7%,12.6%,5.4%,0.5,9.3%,19.7%
Career (2 matches),,52,50,1.0,21.8%,20.9%,36,44,0.8,17.2%,21.1%,12.4%,4.3%,0.3,7.5%,25.1%
