Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2024,873,27,,,,,,,,,,
2022,10,2661,2,2064,2,2004,3,1954,2,1921,,
2021,20,2576,11,2010,8,1955,2,1997,,,,
2020,2,7255,1,2130,2,2060,1,2074,,,136,639
2019,4,5462,4,2094,4,2021,1,2043,2,1956,144,531
2018,1,6921,1,2130,1,2060,1,2074,2,1919,159,421
2017,1,6175,1,2093,3,2017,1,2042,2,1914,146,491
2016,4,5228,4,2089,4,2032,4,2004,5,1894,124,587
2015,2,6060,4,2091,4,2060,4,1989,10,1862,312,177
2014,3,6292,6,2095,7,2030,4,2022,5,1893,495,76
2013,11,3335,5,2106,6,2041,5,1981,10,1832,496,92
2012,47,1220,48,1834,33,1799,41,1755,94,1559,226,290
2011,47,1161,75,1761,76,1707,73,1682,90,1571,201,352
2010,84,775,86,1740,90,1670,57,1720,105,1543,,
2009,185,306,121,1658,141,1569,120,1583,,,,
2008,343,68,,,,,,,,,,
