Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,44,31,13,70.5%,7,3,4,42.9%,2010,2022,F,44,1.15,3.8%,3.4%,65.1%,65.9%,46.5%,59.1%,47.0%,52.4%,46.0%
Roland Garros,13,Clay,48,36,12,75.0%,8,5,3,62.5%,2009,2022,W,44,1.17,2.4%,3.5%,68.3%,61.6%,47.2%,57.0%,50.2%,55.3%,53.6%
Wimbledon,11,Grass,40,30,10,75.0%,10,5,5,50.0%,2010,2022,W,38,1.21,3.4%,4.1%,64.8%,66.4%,51.6%,61.2%,46.9%,58.6%,49.4%
US Open,12,Hard,32,20,12,62.5%,8,3,5,37.5%,2010,2022,SF,23,1.10,3.5%,4.1%,64.7%,64.0%,44.8%,57.2%,47.1%,58.3%,52.4%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2012,2012,R64,1,0.79,3.6%,12.5%,53.6%,60.0%,38.5%,50.0%,39.3%,54.5%,25.0%
Fed Cup,8,,25,20,5,80.0%,7,3,4,42.9%,2010,2019,,12,1.14,3.5%,3.7%,64.2%,64.3%,47.0%,58.1%,47.8%,52.9%,47.7%
Miami,10,Hard,31,21,10,67.7%,5,1,4,20.0%,2021,2024,SF,30,1.11,2.1%,4.6%,67.9%,62.2%,51.2%,58.7%,45.9%,49.3%,51.5%
Cincinnati,11,Hard,35,24,11,68.6%,5,2,3,40.0%,2021,2022,F,32,1.08,3.2%,4.2%,66.6%,62.1%,47.2%,57.1%,46.2%,62.0%,48.4%
Toronto,4,Hard,19,16,3,84.2%,3,2,1,66.7%,2011,2022,W,18,1.14,2.1%,6.4%,65.9%,64.4%,49.1%,59.2%,46.6%,59.7%,48.5%
Washington,2,Hard,5,3,2,60.0%,1,1,0,100.0%,2017,2022,QF,5,1.15,2.6%,8.6%,54.5%,68.5%,44.9%,57.8%,48.5%,43.3%,51.2%
Birmingham,2,Grass,7,5,2,71.4%,1,0,1,0.0%,2015,2022,SF,7,1.33,6.9%,4.0%,61.0%,70.9%,55.1%,64.7%,46.9%,59.0%,60.4%
Rome,12,Clay,34,23,11,67.6%,3,0,3,0.0%,2011,2022,W,33,1.17,2.6%,4.4%,68.7%,59.7%,47.0%,55.7%,51.8%,52.6%,57.1%
