Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 s Hertogenbosch R32,L vs Samsonova,0.96,0.97,91.2,8.8,1.6%,62.9%,0.0%,66.1%,35.5%,36.6%
2019 W25 Obidos R32,L vs Vismane,0.93,0.81,69.6,2.2,-,50.0%,-,45.7%,39.5%,51.4%
2019 W25 Obidos R32,L vs Anshba,1.13,0.78,55.9,5.0,0.0%,48.0%,0.0%,50.0%,37.8%,32.4%
2019 W25 Altenkirchen R32,L vs Zanevska,0.94,0.82,61.6,8.2,4.5%,43.2%,4.9%,51.2%,35.9%,58.3%
2019 Newport Beach R64,L vs Chang,0.88,0.83,71.3,29.5,10.9%,69.1%,8.0%,52.0%,34.0%,39.6%
2017 Jablonec nad Nisou $15K R32,L vs Vankova,0.84,0.88,78.9,2.6,2.3%,58.1%,10.0%,62.5%,50.0%,32.6%
2017 Milovice $15K R16,L vs Francati,0.95,0.55,41.9,2.0,0.0%,43.5%,0.0%,47.6%,24.0%,39.1%
2017 Milovice $15K R32,W vs Matteucci,1.08,1.42,57.2,2.3,2.9%,71.4%,6.7%,63.3%,43.6%,41.7%
2017 Zawada Near Opole $25K R32,W vs Kolodziejova,1.03,1.17,80.3,24.7,3.7%,64.8%,0.0%,63.3%,37.1%,45.6%
2017 Petange $15K QF,L vs Kempen,0.99,0.86,71.4,3.4,5.9%,56.9%,2.1%,40.4%,31.9%,56.5%
2017 Petange $15K R32,W vs Meers,1.24,3.11,28.1,2.1,8.7%,73.9%,5.0%,70.0%,68.8%,71.4%
2017 Wirral $15K QF,L vs Murray,0.87,0.64,41.9,2.1,2.4%,40.5%,2.6%,63.2%,44.4%,26.9%
2017 Wirral $15K R16,W vs Pitak,1.07,1.80,43.4,2.2,13.8%,75.9%,4.0%,76.0%,36.4%,45.2%
2017 Santa Margherita Di Pula $25K R32,L vs Dascalu,0.90,0.88,82.3,11.1,0.0%,51.0%,2.2%,45.7%,46.8%,54.5%
2017 Hechingen $60K R32,L vs Shinikova,0.91,0.74,56.9,2.1,3.0%,57.6%,3.7%,48.1%,40.0%,35.3%
2017 Aschaffenburg $25K QF,L vs Zimmermann,0.84,0.61,34.9,2.1,0.0%,42.4%,0.0%,45.5%,41.7%,39.1%
2017 Aschaffenburg $25K R16,W vs Omae,0.97,2.67,35.2,2.0,0.0%,75.0%,5.9%,76.5%,57.9%,76.5%
2017 Aschaffenburg $25K R32,W vs Geukens,1.31,2.18,31.2,2.3,8.0%,68.0%,0.0%,65.2%,48.0%,63.6%
2017 Versmold $60K R32,L vs Kamenskaya,0.87,0.74,58.2,2.2,3.2%,38.7%,0.0%,65.5%,36.4%,45.5%
2017 Stuttgart Vaihingen $25K R32,L vs Grabher,0.98,0.59,46.5,2.2,3.1%,46.9%,0.0%,53.1%,37.0%,21.7%
2023 (1 matches),,0.96,0.97,91.2,8.8,1.6%,62.9%,0.0%,66.1%,35.5%,36.6%
2019 (4 matches),,0.96,0.81,64.8,4.9,4.3%,53.5%,3.4%,50.0%,36.5%,45.1%
2017 (18 matches),,0.98,0.95,56.6,2.5,3.4%,55.7%,3.9%,55.5%,41.4%,45.0%
2016 (10 matches),,1.02,0.99,55.3,2.9,2.9%,57.3%,2.8%,59.7%,41.8%,38.6%
2015 (2 matches),,1.09,0.95,48.2,2.1,3.1%,48.4%,1.6%,58.1%,38.3%,42.9%
Career (35 matches),,1.00,0.94,58.8,2.8,3.3%,55.8%,3.2%,56.6%,40.4%,42.6%
