Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 s Hertogenbosch R32,L vs Samsonova,39% (7/18),29% (2/7),0/2,33% (6/18),50% (3/6),1/2,0/1,3/4,0/1,2/2
2019 W25 Obidos R32,L vs Vismane,50% (5/10),100% (5/5),3/5,64% (7/11),0% (0/7),1/5,0/2,0/1,0/0,0/0
2019 W25 Obidos R32,L vs Anshba,42% (5/12),60% (3/5),1/6,69% (9/13),22% (2/9),2/2,0/0,0/1,0/0,0/1
2019 W25 Altenkirchen R32,L vs Zanevska,55% (6/11),83% (5/6),2/6,64% (7/11),0% (0/7),3/5,1/1,0/1,0/0,0/0
2019 Newport Beach R64,L vs Chang,25% (4/16),75% (3/4),0/3,38% (6/16),50% (3/6),2/2,0/1,0/0,0/1,0/0
2017 Jablonec nad Nisou $15K R32,L vs Vankova,62% (8/13),38% (3/8),1/3,42% (5/12),40% (2/5),3/3,1/1,0/0,0/0,0/0
2017 Milovice $15K R16,L vs Francati,25% (2/8),50% (1/2),0/4,71% (5/7),0% (0/5),0/1,0/0,0/1,0/0,0/0
2017 Milovice $15K R32,W vs Matteucci,50% (5/10),60% (3/5),0/1,9% (1/11),0% (0/1),3/3,2/2,2/2,1/1,0/0
2017 Zawada Near Opole $25K R32,W vs Kolodziejova,53% (9/17),44% (4/9),0/3,41% (7/17),57% (4/7),2/2,0/0,1/1,0/0,1/1
2017 Petange $15K QF,L vs Kempen,43% (6/14),83% (5/6),3/5,53% (8/15),13% (1/8),2/5,1/1,0/2,0/0,0/1
2017 Petange $15K R32,W vs Meers,83% (5/6),100% (5/5),0/0,14% (1/7),100% (1/1),5/5,2/2,0/0,1/1,0/0
2017 Wirral $15K QF,L vs Murray,33% (3/9),67% (2/3),2/4,60% (6/10),17% (1/6),2/2,0/0,1/2,0/0,0/1
2017 Wirral $15K R16,W vs Pitak,44% (4/9),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2017 Santa Margherita Di Pula $25K R32,L vs Dascalu,57% (8/14),88% (7/8),5/8,57% (8/14),0% (0/8),4/7,1/1,0/0,0/0,0/0
2017 Hechingen $60K R32,L vs Shinikova,44% (4/9),25% (1/4),0/4,56% (5/9),20% (1/5),1/1,0/0,0/0,0/0,0/0
2017 Aschaffenburg $25K QF,L vs Zimmermann,38% (3/8),67% (2/3),1/5,75% (6/8),0% (0/6),0/2,0/0,1/2,0/0,0/0
2017 Aschaffenburg $25K R16,W vs Omae,83% (5/6),100% (5/5),0/0,0% (0/7),- (0/0),4/4,1/1,0/0,1/1,0/0
2017 Aschaffenburg $25K R32,W vs Geukens,71% (5/7),100% (5/5),0/0,29% (2/7),100% (2/2),3/3,0/0,0/0,0/0,0/0
2017 Versmold $60K R32,L vs Kamenskaya,44% (4/9),50% (2/4),1/4,50% (5/10),0% (0/5),0/2,0/0,1/2,0/0,0/1
2017 Stuttgart Vaihingen $25K R32,L vs Grabher,25% (2/8),0% (0/2),0/4,63% (5/8),20% (1/5),0/0,0/0,0/0,0/0,0/0
2023 (1 matches),,38.9%,28.6%,0.0%,33.3%,50.0%,50.0%,0.0%,75.0%,0.0%,100.0%
2019 (4 matches),,40.8%,80.0%,30.0%,56.9%,17.2%,57.1%,25.0%,0.0%,0.0%,0.0%
2017 (18 matches),,49.4%,65.1%,31.6%,46.4%,20.5%,73.5%,100.0%,43.8%,100.0%,33.3%
2016 (10 matches),,42.6%,71.7%,25.0%,45.5%,32.0%,67.7%,88.9%,50.0%,100.0%,0.0%
2015 (2 matches),,43.8%,57.1%,14.3%,70.6%,41.7%,50.0%,100.0%,-,100.0%,-
Career (35 matches),,45.5%,66.9%,28.1%,48.0%,25.6%,68.0%,80.8%,45.7%,80.0%,30.8%
