Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2001,18,1495,17,1971,17,1883,19,1867,19,1763,,,,
2000,19,1369,14,2037,18,1921,9,1977,16,1809,,,,
1999,16,1548,19,2005,14,1945,31,1853,24,1775,,,,
1998,21,1294,24,1980,22,1898,21,1903,,,,,,
1997,13,1822,11,2115,11,2022,14,1984,8,1913,,,,
1996,7,2689,8,2155,8,2054,9,2054,6,1932,,,,
1995,10,129,4,2159,10,2028,5,2062,7,1894,,,,
1994,12,94,9,2104,12,1970,6,2045,14,1831,,,,
1993,10,124,8,2159,10,2029,6,2093,10,1909,,,,
1992,11,66,10,2084,13,1959,10,2003,16,1839,,,,
1991,14,62,11,2088,14,1963,12,1956,13,1842,,,,
1990,37,26,28,1868,29,1775,63,1705,57,1653,,,,
1989,199,4,145,1639,139,1569,120,1604,,,,,,
