Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,278,177,101,63.7%,371-245,60.2%,2991-2534,54.1%,29-19,60.4%,0,,,,,,,,,,,
Clay,162,113,49,69.8%,234-119,66.3%,1820-1371,57.0%,22-22,50.0%,0,,,,,,,,,,,
Grass,44,31,13,70.5%,62-29,68.1%,465-351,57.0%,5-6,45.5%,0,,,,,,,,,,,
Carpet,144,94,50,65.3%,198-116,63.1%,1545-1229,55.7%,14-19,42.4%,0,,,,,,,,,,,
Grand Slams,139,96,43,69.1%,200-102,66.2%,1540-1163,57.0%,12-9,57.1%,0,,,,,,,,,,,
Premiers,53,30,23,56.6%,71-58,55.0%,630-592,51.6%,9-7,56.3%,0,,,,,,,,,,,
Internationals,23,18,5,78.3%,38-14,73.1%,290-195,59.8%,4-3,57.1%,0,,,,,,,,,,,
Finals,22,11,11,50.0%,25-26,49.0%,228-228,50.0%,3-3,50.0%,0,,,,,,,,,,,
Semi-finals,48,22,26,45.8%,50-50,50.0%,434-440,49.7%,6-7,46.2%,0,,,,,,,,,,,
Quarter-finals,99,48,51,48.5%,104-107,49.3%,966-969,49.9%,13-17,43.3%,0,,,,,,,,,,,
vs Righties,486,302,184,62.1%,650-426,60.4%,5259-4444,54.2%,51-57,47.2%,0,,,,,,,,,,,
vs Lefties,51,32,19,62.7%,62-43,59.0%,505-436,53.7%,5-5,50.0%,0,,,,,,,,,,,
vs Top 10,136,43,93,31.6%,116-193,37.5%,1236-1540,44.5%,10-22,31.3%,0,,,,,,,,,,,
