Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2023 US Open R128,L vs Swiatek,76.2%,34.4%,9.5%,2/2,2.77,0.0%,70.0%,33.3%,3.3%,2.78,0.0%,100.0%,36.4%,27.3%,2.76,0.0%
2023 s Hertogenbosch R32,L vs Krueger,43.2%,18.8%,2.7%,1/0,2.36,4.8%,50.0%,8.3%,4.2%,2.41,6.7%,36.4%,50.0%,0.0%,2.23,0.0%
2023 Roland Garros R64,L vs Wang,80.8%,63.5%,9.0%,7/0,2.57,4.0%,82.9%,61.8%,9.8%,2.67,6.5%,85.3%,65.5%,8.8%,2.41,0.0%
2023 Roland Garros R128,W vs Ferro,86.4%,58.8%,0.0%,0/0,2.18,0.0%,85.0%,61.8%,0.0%,2.33,0.0%,100.0%,52.9%,0.0%,1.98,0.0%
2023 Indian Wells R16,L vs Gauff,80.2%,49.3%,5.5%,3/2,2.15,2.7%,77.2%,59.1%,1.8%,2.12,2.0%,90.6%,34.5%,12.5%,2.22,4.2%
2023 Indian Wells R128,W vs Kostyuk,69.6%,48.3%,5.6%,4/3,2.16,4.9%,76.1%,42.6%,2.8%,2.07,7.0%,89.2%,57.6%,13.5%,2.37,0.0%
2023 Merida F,L vs Giorgi,78.7%,42.9%,2.2%,2/0,2.08,1.7%,79.3%,41.3%,1.7%,1.99,2.6%,92.3%,45.8%,3.8%,2.26,0.0%
2023 Merida R16,W vs Parks,58.2%,65.6%,5.5%,3/0,1.92,6.7%,57.1%,56.3%,7.1%,2.07,9.5%,72.7%,75.0%,4.5%,1.56,0.0%
2022 Chennai R16,L vs Fruhvirtova,68.1%,37.5%,4.3%,1/1,2.57,2.1%,59.3%,18.8%,7.4%,2.74,4.0%,88.9%,56.3%,0.0%,2.37,0.0%
2022 Rabat R32,L vs Marcinko,75.8%,53.3%,2.0%,1/1,2.19,0.0%,72.7%,50.0%,1.5%,2.17,0.0%,90.0%,59.3%,3.3%,2.22,0.0%
2022 Australian Open R64,L vs Swiatek,68.6%,45.7%,2.0%,1/0,2.57,2.3%,63.6%,52.4%,3.0%,2.42,2.9%,82.4%,35.7%,0.0%,3.13,0.0%
2022 Adelaide R32,W vs Sabalenka,54.1%,58.5%,5.1%,5/0,2.52,3.1%,64.8%,57.1%,5.6%,2.44,5.1%,78.3%,61.1%,8.7%,2.66,0.0%
2021 Roland Garros R64,L vs Swiatek,80.5%,36.4%,2.4%,1/0,2.62,0.0%,76.0%,26.3%,4.0%,2.67,0.0%,93.3%,50.0%,0.0%,2.51,0.0%
2021 Roland Garros R128,W vs Rogers,79.0%,47.0%,5.7%,4/2,2.14,3.1%,87.7%,45.6%,4.6%,2.04,4.7%,81.3%,50.0%,9.4%,2.34,0.0%
2020 Monterrey QF,L vs Rus,71.1%,40.6%,4.4%,1/1,1.92,0.0%,67.6%,36.0%,2.7%,1.92,0.0%,100.0%,57.1%,14.3%,1.91,0.0%
2020 Australian Open R128,L vs Hercog,75.7%,48.2%,2.7%,2/0,2.26,9.5%,70.0%,46.4%,5.0%,2.24,10.0%,87.5%,50.0%,0.0%,2.32,8.3%
2019 Tianjin F,W vs Watson,80.8%,54.0%,2.6%,2/0,2.34,0.0%,77.3%,44.1%,2.3%,2.36,0.0%,90.6%,65.5%,3.1%,2.32,0.0%
2019 Tianjin SF,W vs Jabeur,75.5%,49.3%,2.1%,2/0,2.38,23.7%,69.1%,55.3%,3.6%,2.35,27.7%,91.7%,42.4%,0.0%,2.59,0.0%
2019 Beijing R64,L vs Halep,76.2%,45.8%,1.6%,0/1,2.24,2.1%,86.0%,43.2%,2.3%,2.14,2.9%,61.1%,54.5%,0.0%,2.50,0.0%
2019 Nanchang F,W vs Rybakina,71.4%,63.3%,0.0%,0/0,2.73,0.0%,80.0%,56.3%,0.0%,2.58,0.0%,77.8%,71.4%,0.0%,3.02,0.0%
Career (34 matches),,74.6%,50.0%,4.0%,69.1%,2.41,6.5%,76.2%,47.8%,3.8%,2.36,8.5%,85.2%,53.8%,5.1%,2.50,2.4%
