Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,1,25.0%,25.0%,3.6%,7.3%,49.1%,59.3%,21.4%,40.0%,43.4%,41.7%,0.72,R32 (W15 Galati)
2024,8,3,5,37.5%,7-11,38.9%,69-92,42.9%,0-0,-,0,,,,,,,,,,,,R16 (3x)
2023,8,3,5,37.5%,6-11,35.3%,58-88,39.7%,0-0,-,0,,,,,,,,,,,,QF (W25 Tokyo)
2022,27,15,12,55.6%,32-27,54.2%,284-254,52.8%,3-1,75.0%,0,,,,,,,,,,,,W (W15 Monastir)
2021,6,2,4,33.3%,6-8,42.9%,59-70,45.7%,1-0,100.0%,0,,,,,,,,,,,,QF (W15 Sharm El Sheikh)
2020,6,1,5,16.7%,2-10,16.7%,46-69,40.0%,0-2,0.0%,0,,,,,,,,,,,,R16 (W25 Hong Kong)
2019,22,7,15,31.8%,19-29,39.6%,206-239,46.3%,4-3,57.1%,0,,,,,,,,,,,,QF (2x)
2018,38,23,15,60.5%,49-40,55.1%,444-403,52.4%,6-3,66.7%,0,,,,,,,,,,,,F (2x)
2017,20,5,15,25.0%,13-31,29.5%,160-232,40.8%,1-2,33.3%,0,,,,,,,,,,,,QF (2x)
2016,32,15,17,46.9%,30-38,44.1%,292-318,47.9%,3-1,75.0%,0,,,,,,,,,,,,SF (Gimcheon $10K)
2015,39,19,20,48.7%,43-47,47.8%,392-403,49.3%,2-4,33.3%,0,,,,,,,,,,,,SF (2x)
2014,41,24,17,58.5%,55-41,57.3%,457-412,52.6%,6-4,60.0%,0,,,,,,,,,,,,W (Tokyo 10K)
2013,38,18,20,47.4%,41-43,48.8%,388-415,48.3%,5-5,50.0%,0,,,,,,,,,,,,SF (2x)
2012,25,13,12,52.0%,26-28,48.1%,238-247,49.1%,2-1,66.7%,0,,,,,,,,,,,,F (Antalya Kaya Belek 10K)
2011,15,4,11,26.7%,11-23,32.4%,135-176,43.4%,0-2,0.0%,0,,,,,,,,,,,,QF (Mie 10K)
2010,3,0,3,0.0%,0-6,0.0%,18-37,32.7%,0-0,-,0,,,,,,,,,,,,R32 (3x)
Career,329,152,177,46.2%,340-395,46.3%,3250-3467,48.4%,33-28,54.1%,1,25.0%,25.0%,3.6%,7.3%,49.1%,59.3%,21.4%,40.0%,43.4%,41.7%,0.72,
