Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Montpellier QF,L vs Rublev,0.0%,-,0.0%,0.0%,18.2%,0.0%,0.0%,11.8%,33.3%,0.0%,-,159,124
2022 Vienna R32,L vs Medvedev,2.1%,0.0%,9.0%,37.5%,17.9%,22.7%,0.0%,7.5%,23.1%,0.7%,0.0%,155,61
2022 Hamburg R32,L vs Karatsev,0.0%,-,1.2%,0.0%,18.8%,25.0%,0.0%,7.7%,0.0%,0.0%,-,136,70
2022 Halle R32,W vs Rublev,0.0%,-,3.0%,25.0%,18.8%,12.0%,0.0%,20.0%,53.8%,0.6%,0.0%,107,15
2022 Stuttgart R16,L vs Kyrgios,0.0%,-,4.3%,62.5%,23.7%,35.3%,0.0%,10.9%,23.1%,1.3%,0.0%,187,73
2022 Doha F,L vs Bautista Agut,0.0%,-,4.8%,66.7%,15.2%,18.9%,16.7%,7.5%,9.5%,0.8%,50.0%,74,49
2021 Indian Wells F,L vs Norrie,0.0%,-,4.8%,42.9%,11.8%,13.2%,12.8%,9.3%,27.3%,0.3%,0.0%,54,6
2021 Indian Wells SF,W vs Fritz,0.0%,-,3.3%,40.0%,14.7%,28.6%,66.7%,13.2%,33.3%,1.5%,50.0%,56,24
2021 US Open R32,L vs Opelka,0.0%,-,3.6%,57.1%,12.6%,22.7%,0.0%,10.2%,18.2%,0.5%,0.0%,23,21
2021 Canada R16,L vs Hurkacz,0.0%,-,9.8%,59.1%,10.4%,14.6%,0.0%,3.6%,5.6%,0.3%,0.0%,36,45
2021 Canada R32,W vs De Minaur,0.0%,-,2.4%,100.0%,22.9%,38.9%,0.0%,12.5%,37.5%,0.8%,0.0%,139,149
2021 Madrid R64,L vs Paire,0.0%,-,5.0%,57.1%,22.6%,35.7%,0.0%,6.5%,0.0%,1.3%,50.0%,95,32
2021 Munich F,W vs Struff,0.0%,-,4.3%,66.7%,16.7%,25.9%,22.2%,14.8%,37.5%,0.5%,0.0%,57,38
2021 Doha F,W vs Bautista Agut,1.7%,0.0%,12.9%,62.5%,10.1%,15.2%,0.0%,9.5%,30.4%,0.6%,0.0%,-39,-40
2020 Hamburg R32,L vs Bautista Agut,0.0%,-,7.1%,62.5%,9.0%,0.0%,0.0%,5.8%,0.0%,0.0%,-,29,9
2020 US Open R128,L vs Millman,0.0%,-,2.9%,60.0%,4.8%,0.0%,0.0%,5.5%,0.0%,0.5%,0.0%,-12,6
2020 Rotterdam R32,L vs Rublev,0.0%,-,1.1%,100.0%,14.3%,18.2%,50.0%,8.3%,25.0%,0.0%,-,175,115
2019 Shanghai R16,L vs Thiem,1.9%,100.0%,11.1%,53.8%,12.5%,9.5%,0.0%,13.2%,50.0%,0.0%,-,-1,-62
2019 Metz R16,W vs Maden,4.3%,100.0%,7.4%,80.0%,20.6%,34.5%,0.0%,17.5%,37.5%,0.0%,-,103,117
2019 US Open R128,W vs Fucsovics,0.0%,-,5.5%,62.5%,10.5%,11.4%,5.3%,6.7%,15.8%,0.2%,0.0%,-1,-16
Career (51 matches),,0.7%,42.3%,5.7%,64.7%,13.8%,16.8%,13.4%,9.3%,23.5%,0.4%,21.1%,50,40
