Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2022 US Open R128,L vs Wu,104.3,109.0,7.9,112.9,104.0,123,90,96.0,6.3,103.5,89.0,111,85
2022 Wimbledon R32,L vs Van Rijthoven,104.8,111.2,10.3,121.4,110.2,128,78,95.4,4.7,96.3,96.8,104,87
2021 US Open R32,L vs Opelka,103.4,114.8,6.7,120.6,111.6,128,98,92.6,5.6,95.0,93.0,106,81
2021 US Open R64,W vs Cressy,107.4,113.8,9.5,123.2,112.7,131,93,94.8,6.2,97.8,103.0,106,83
2021 US Open R128,W vs Korda,108.7,115.0,9.8,117.5,114.0,127,98,98.8,5.3,,95.0,109,89
2021 Wimbledon R128,L vs Murray,106.9,114.3,6.0,117.9,112.2,125,88,95.0,5.6,93.5,96.0,103,80
2019 US Open R32,L vs Koepfer,106.3,112.3,6.4,113.3,111.8,124,93,98.5,5.0,99.6,97.9,111,89
2019 US Open R64,W vs Brooksby,105.1,111.0,6.9,114.7,109.9,124,93,97.2,5.0,99.3,97.0,107,88
2019 Wimbledon R64,L vs Evans,108.2,112.1,7.0,116.9,109.9,128,94,100.4,6.5,104.8,95.5,114,81
2018 US Open R16,L vs Nadal,103.3,108.1,8.7,111.7,104.3,126,89,96.2,5.2,95.8,94.0,105,84
2018 US Open R32,W vs Pella,105.1,109.7,7.6,114.5,109.1,124,93,96.8,5.0,91.5,95.5,108,87
2018 US Open R64,W vs Sock,105.9,113.9,7.8,118.8,108.7,127,98,98.5,7.9,106.4,98.9,124,81
2017 Wimbledon R64,L vs Querrey,105.7,110.6,8.5,114.4,108.6,143,91,96.6,5.2,101.0,93.2,103,84
2017 Roland Garros R32,L vs Nadal,102.1,104.8,7.3,104.8,101.8,121,92,90.9,4.8,,97.0,97,83
2017 Roland Garros R64,W vs Troicki,93.6,96.9,10.9,,,118,65,84.4,6.0,,,93,72
2017 Roland Garros R128,W vs Simon,99.3,103.0,9.4,,,124,82,87.0,6.4,,,97,74
2016 Roland Garros R128,L vs Edmund,102.2,107.2,7.5,,,123,90,92.2,7.3,,,108,77
2016 Australian Open R128,L vs Federer,110.0,114.8,8.3,,,131,100,98.9,6.3,,,110,87
2015 Wimbledon R32,L vs Bautista Agut,103.6,106.0,12.1,,,123,62,94.6,7.1,,,107,79
Career (19 matches),,104.4,109.5,8.3,115.5,109.6,143,62,95.4,5.9,99.1,96.1,124,72
