Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,201,90,111,44.8%,227-273,45.4%,2343-2541,48.0%,45-40,52.9%,196,74.1%,21.3%,6.2%,5.6%,58.3%,69.0%,48.7%,60.6%,36.7%,48.8%,0.93
Clay,98,45,53,45.9%,113-130,46.5%,1103-1229,47.3%,19-11,63.3%,96,70.8%,23.5%,3.2%,5.3%,59.5%,65.8%,48.7%,58.9%,38.1%,48.6%,0.93
Grass,35,16,19,45.7%,48-55,46.6%,477-539,46.9%,13-7,65.0%,35,77.6%,15.1%,5.0%,4.9%,60.4%,69.5%,51.7%,62.5%,32.7%,48.1%,0.87
Carpet,3,2,1,66.7%,7-4,63.6%,54-46,54.0%,1-0,100.0%,3,67.3%,38.0%,1.2%,5.6%,57.8%,66.1%,47.8%,58.4%,45.6%,51.9%,1.10
Grand Slams,55,23,32,41.8%,87-121,41.8%,940-1091,46.3%,20-19,51.3%,55,72.9%,19.3%,4.6%,5.2%,59.8%,67.6%,48.9%,60.1%,35.0%,47.9%,0.88
Masters,70,25,45,35.7%,63-96,39.6%,719-826,46.5%,12-11,52.2%,69,71.6%,21.1%,4.8%,5.8%,57.5%,66.8%,49.8%,59.6%,36.7%,48.3%,0.91
Other Tours,204,100,104,49.0%,229-237,49.1%,2200-2354,48.3%,45-28,61.6%,200,74.4%,21.6%,5.6%,5.4%,59.0%,68.9%,48.9%,60.6%,37.1%,49.0%,0.94
Best of 5,60,27,33,45.0%,100-125,44.4%,1030-1143,47.4%,21-19,52.5%,60,73.2%,21.1%,4.5%,5.2%,59.7%,67.7%,48.9%,60.2%,35.9%,48.4%,0.90
Best of 3,277,126,151,45.5%,295-337,46.7%,2947-3212,47.8%,57-39,59.4%,270,73.6%,21.5%,5.4%,5.5%,58.6%,68.3%,49.1%,60.4%,37.0%,48.8%,0.93
Finals,9,5,4,55.6%,11-10,52.4%,98-106,48.0%,2-0,100.0%,9,77.2%,17.8%,5.1%,3.8%,60.3%,68.9%,51.9%,62.2%,36.8%,49.7%,0.97
Semi-finals,15,9,6,60.0%,21-14,60.0%,166-156,51.6%,5-2,71.4%,15,79.2%,22.4%,5.2%,4.1%,58.1%,69.5%,51.2%,61.9%,37.7%,50.1%,0.99
Quarter-finals,29,15,14,51.7%,36-31,53.7%,321-327,49.5%,4-4,50.0%,29,75.1%,23.2%,5.6%,4.5%,60.7%,68.1%,49.9%,61.0%,38.3%,49.6%,0.98
vs Righties,288,131,157,45.5%,335-393,46.0%,3385-3705,47.7%,65-47,58.0%,281,73.4%,21.5%,5.2%,5.4%,58.7%,68.0%,49.0%,60.2%,36.9%,48.7%,0.93
vs Lefties,47,21,26,44.7%,56-67,45.5%,562-630,47.1%,13-11,54.2%,47,73.8%,20.2%,4.9%,5.4%,60.1%,68.7%,49.2%,61.0%,35.4%,48.3%,0.91
vs Top 10,32,8,24,25.0%,27-53,33.8%,338-442,43.3%,5-5,50.0%,31,70.8%,15.4%,6.0%,5.8%,57.2%,67.8%,48.2%,59.4%,32.7%,46.6%,0.81
