Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,258,127,131,49.2%,281-272,50.8%,2608-2549,50.6%,25-28,47.2%,237,60.4%,44.2%,1.8%,6.8%,65.0%,59.2%,44.0%,53.9%,46.8%,50.3%,1.01
Clay,93,37,56,39.8%,81-103,44.0%,800-867,48.0%,6-4,60.0%,80,54.3%,43.1%,0.8%,5.4%,67.3%,56.1%,42.3%,51.6%,46.1%,48.9%,0.95
Grass,51,24,27,47.1%,54-59,47.8%,530-550,49.1%,8-7,53.3%,50,63.6%,34.1%,1.9%,5.5%,65.1%,60.8%,47.8%,56.3%,42.4%,49.4%,0.97
Grand Slams,83,38,45,45.8%,87-98,47.0%,811-875,48.1%,6-7,46.2%,79,57.0%,40.2%,1.4%,6.4%,64.9%,58.2%,42.7%,52.8%,45.5%,49.1%,0.96
Premiers,103,41,62,39.8%,94-125,42.9%,983-1088,47.5%,12-13,48.0%,95,60.1%,36.2%,2.2%,6.0%,65.8%,58.3%,45.4%,53.9%,43.3%,48.7%,0.94
Internationals,141,75,66,53.2%,157-126,55.5%,1410-1249,53.0%,15-13,53.6%,134,62.9%,49.6%,1.6%,6.5%,65.4%,60.1%,45.2%,54.9%,47.9%,51.3%,1.06
Finals,6,4,2,66.7%,9-6,60.0%,80-70,53.3%,1-0,100.0%,5,58.3%,48.3%,2.7%,4.5%,69.5%,59.2%,45.6%,55.1%,49.6%,52.3%,1.10
Semi-finals,14,6,8,42.9%,12-14,46.2%,110-128,46.2%,1-1,50.0%,12,63.7%,41.9%,1.6%,5.9%,69.2%,59.1%,43.8%,54.4%,45.9%,49.9%,1.01
Quarter-finals,29,13,16,44.8%,27-24,52.9%,239-226,51.4%,2-2,50.0%,26,62.7%,39.8%,2.1%,5.9%,64.3%,59.9%,47.2%,55.4%,44.8%,50.1%,1.01
vs Righties,361,170,191,47.1%,374-388,49.1%,3527-3558,49.8%,35-34,50.7%,327,59.5%,42.7%,1.6%,6.5%,65.5%,58.8%,43.9%,53.7%,46.1%,49.9%,1.00
vs Lefties,40,16,24,40.0%,39-48,44.8%,396-411,49.1%,4-5,44.4%,37,60.1%,40.1%,1.8%,5.2%,65.5%,58.1%,46.4%,54.1%,45.4%,49.7%,0.99
vs Top 10,46,9,37,19.6%,26-70,27.1%,350-514,40.5%,0-7,0.0%,43,51.8%,30.2%,1.7%,6.2%,66.1%,56.1%,42.6%,51.5%,40.5%,46.1%,0.83
