Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,33,20,13,60.6%,7,5,2,71.4%,2011,2024,R32,32,1.04,1.8%,6.3%,64.6%,60.3%,43.8%,54.5%,47.5%,49.1%,45.8%
Roland Garros,15,Clay,31,16,15,51.6%,2,2,0,100.0%,2021,2024,R16,29,1.05,0.8%,5.7%,68.8%,56.8%,39.4%,51.4%,51.0%,48.4%,53.3%
Wimbledon,14,Grass,30,17,13,56.7%,6,4,2,66.7%,2010,2024,R16,26,0.98,1.3%,6.3%,64.1%,59.3%,45.6%,54.4%,44.7%,52.4%,48.7%
US Open,13,Hard,29,16,13,55.2%,9,2,7,22.2%,2010,2024,QF,26,1.05,2.2%,6.4%,64.6%,59.8%,44.1%,54.2%,48.0%,53.2%,51.8%
Fed Cup,7,,22,10,12,45.5%,5,3,2,60.0%,2011,2019,,8,1.00,1.1%,5.7%,66.9%,62.6%,41.0%,55.4%,44.7%,58.1%,43.9%
Merida,2,Hard,4,2,2,50.0%,0,0,0,-,2023,2024,R32,4,1.06,0.0%,2.4%,69.0%,61.1%,48.3%,57.1%,45.6%,56.7%,38.1%
Wuhan,4,Hard,8,4,4,50.0%,2,2,0,100.0%,2015,2024,R32,7,1.02,1.0%,7.5%,64.3%,64.9%,41.2%,56.5%,44.3%,67.2%,41.8%
Beijing,6,Hard,9,3,6,33.3%,1,1,0,100.0%,2013,2024,R32,8,0.99,0.9%,6.0%,61.8%,57.4%,44.5%,52.5%,47.0%,47.2%,47.3%
Monastir,2,Hard,5,3,2,60.0%,0,0,0,-,2023,2024,SF,5,1.09,0.0%,5.1%,68.4%,56.4%,43.8%,52.4%,51.7%,56.3%,43.8%
Cincinnati,6,Hard,11,5,6,45.5%,2,2,0,100.0%,2012,2024,QF,11,0.95,2.8%,8.2%,61.6%,60.1%,43.6%,53.7%,44.0%,51.5%,38.1%
Toronto,3,Hard,9,6,3,66.7%,2,1,1,50.0%,2015,2024,QF,7,0.99,3.5%,6.4%,61.5%,62.2%,40.0%,53.6%,46.0%,53.0%,44.1%
