Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2009 Madrid R16,W vs Dementieva,24.4%,30.5%,51.1%,41.0%,53.8%,60.9%,30.0%,42.1%,50.0%,15.4%,15.4%,40.9%,46.2%,69.2%,75.0%,-18
2009 Paris F,W vs Dementieva,26.1%,34.2%,39.7%,38.7%,53.2%,47.4%,55.2%,60.6%,50.0%,11.1%,11.1%,32.5%,88.2%,46.4%,0.0%,-5
2009 Fed Cup RR,L vs Pennetta,14.3%,21.0%,50.6%,19.4%,28.4%,55.6%,78.1%,31.4%,0.0%,6.5%,9.7%,41.4%,16.7%,21.1%,0.0%,-58
2007 Eastbourne F,L vs Henin,25.0%,33.9%,40.0%,36.4%,56.8%,35.7%,50.0%,54.5%,100.0%,30.8%,33.3%,44.4%,50.0%,56.5%,33.3%,33
2006 WTA Championships F,L vs Henin,13.9%,20.8%,37.9%,13.3%,20.0%,35.9%,55.6%,55.6%,60.0%,17.4%,26.1%,42.1%,44.4%,64.3%,50.0%,52
2006 US Open SF,L vs Sharapova,17.2%,25.0%,38.8%,21.4%,31.0%,42.4%,68.4%,30.4%,0.0%,11.1%,16.7%,31.3%,72.7%,0.0%,0.0%,-14
2006 New Haven QF,L vs Davenport,21.0%,32.3%,38.3%,19.0%,35.7%,47.1%,45.0%,22.7%,0.0%,27.8%,27.8%,15.4%,11.1%,22.2%,-,17
2006 Wimbledon F,W vs Henin,33.7%,47.2%,44.8%,38.9%,53.7%,45.5%,56.7%,33.3%,60.0%,26.5%,38.2%,44.0%,72.7%,52.2%,66.7%,-69
2006 Wimbledon SF,W vs Sharapova,33.3%,44.0%,37.0%,48.9%,66.0%,41.7%,60.9%,33.3%,100.0%,18.5%,22.2%,31.8%,87.5%,21.1%,0.0%,56
2006 Wimbledon QF,W vs Myskina,36.4%,48.5%,62.2%,48.8%,65.1%,59.1%,50.0%,39.1%,-,16.7%,22.2%,66.7%,57.1%,45.5%,0.0%,31
2006 Australian Open F,W vs Henin,16.2%,24.3%,58.1%,13.0%,21.7%,60.0%,90.0%,61.5%,100.0%,21.4%,28.6%,54.5%,83.3%,87.5%,-,-104
2006 Australian Open SF,W vs Clijsters,14.8%,21.6%,54.9%,18.6%,27.1%,60.4%,46.4%,38.7%,20.0%,8.0%,12.0%,43.5%,41.7%,46.2%,0.0%,-39
2005 WTA Championships F,W vs Pierce,27.3%,35.0%,46.0%,35.5%,48.7%,51.0%,55.6%,60.0%,50.0%,19.0%,20.6%,41.2%,60.7%,28.6%,0.0%,-32
2005 Fed Cup RR,L vs Dementieva,12.4%,18.1%,43.7%,12.3%,21.5%,49.1%,58.1%,67.6%,87.5%,14.3%,14.3%,33.3%,47.4%,18.8%,25.0%,20
2005 US Open QF,L vs Pierce,25.0%,33.3%,41.9%,28.6%,42.9%,50.0%,42.9%,35.7%,0.0%,26.7%,26.7%,27.3%,50.0%,44.4%,50.0%,123
2005 Wimbledon SF,L vs Davenport,32.2%,44.6%,43.4%,36.8%,56.6%,54.2%,48.6%,53.8%,60.0%,28.2%,28.2%,25.0%,91.7%,29.6%,20.0%,57
2005 Wimbledon QF,W vs Myskina,22.0%,42.0%,66.7%,31.0%,58.6%,65.0%,58.3%,47.1%,100.0%,11.1%,22.2%,68.8%,50.0%,33.3%,-,-9
2005 Rome F,W vs Schnyder,17.9%,25.0%,53.6%,22.6%,30.6%,56.3%,93.9%,31.0%,100.0%,4.5%,9.1%,47.6%,100.0%,13.3%,0.0%,-104
2004 Tour Championships RR,W vs Sharapova,38.5%,47.7%,37.5%,57.1%,68.6%,53.3%,43.8%,42.1%,-,22.7%,31.8%,23.5%,50.0%,16.7%,0.0%,73
2004 Olympics F,L vs Henin,28.4%,35.8%,40.5%,30.0%,37.5%,39.3%,65.0%,50.0%,100.0%,33.3%,42.9%,42.9%,42.9%,50.0%,60.0%,164
Career (36 matches),,22.0%,31.0%,47.2%,27.5%,40.7%,51.6%,57.3%,44.6%,49.2%,17.1%,20.6%,40.3%,53.4%,44.2%,34.0%,51
