Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2009,,,18,1995,18,1905,15,1881,15,1819,,
2008,24,1081,22,1953,22,1889,24,1842,16,1790,,
2007,18,1538,26,1955,24,1910,22,1888,13,1838,,
2006,3,3391,5,2183,5,2122,3,2101,3,1999,,
2005,3,4030,4,2250,5,2192,2,2150,6,1973,,
2004,2,4546,1,2297,3,2215,2,2189,5,1971,,
2003,4,3194,6,2213,6,2113,5,2109,9,1872,,
2002,6,3068,5,2182,5,2119,6,2064,6,1916,,
2001,9,2765,10,2137,10,2025,6,2064,12,1800,,
2000,16,1426,25,1959,27,1859,12,1940,47,1663,,
1999,10,1906,14,2033,15,1944,18,1927,,,,
1998,29,923,34,1914,38,1814,32,1846,48,1662,,
1997,100,259,95,1725,156,1536,85,1676,93,1566,,
1996,180,110,,,,,,,,,,
1995,250,4,265,1565,296,1468,250,1517,,,,
