Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,351,251,100,71.5%,523-255,67.2%,4055-3112,56.6%,54-26,67.5%,124,-,-,4.2%,6.6%,60.9%,67.6%,44.1%,58.4%,45.8%,52.2%,1.10
Clay,185,133,52,71.9%,285-138,67.4%,2248-1677,57.3%,18-23,43.9%,46,-,-,4.1%,6.0%,63.8%,66.9%,46.0%,59.3%,46.8%,53.0%,1.15
Grass,63,44,19,69.8%,96-47,67.1%,758-568,57.2%,6-7,46.2%,38,-,-,8.4%,7.1%,60.0%,72.0%,51.5%,63.8%,45.7%,54.5%,1.26
Carpet,84,60,24,71.4%,127-61,67.6%,995-736,57.5%,14-11,56.0%,18,-,-,5.2%,5.1%,61.2%,68.4%,47.1%,60.1%,47.3%,53.8%,1.19
Grand Slams,175,131,44,74.9%,275-118,70.0%,2077-1460,58.7%,14-11,56.0%,99,-,-,5.4%,6.7%,61.2%,69.2%,47.2%,60.7%,47.8%,54.2%,1.22
Premiers,332,243,89,73.2%,513-232,68.9%,3970-2990,57.0%,54-34,61.4%,88,-,-,4.2%,6.1%,61.9%,66.8%,44.7%,58.4%,45.1%,51.7%,1.08
Internationals,28,20,8,71.4%,43-21,67.2%,351-274,56.2%,7-5,58.3%,16,-,-,6.9%,7.5%,63.4%,68.6%,43.0%,59.2%,46.8%,53.1%,1.15
Finals,47,24,23,51.1%,51-56,47.7%,511-517,49.7%,9-8,52.9%,10,-,-,4.3%,4.3%,60.0%,60.5%,46.2%,54.8%,39.1%,47.5%,0.87
Semi-finals,76,46,30,60.5%,102-72,58.6%,888-802,52.5%,16-12,57.1%,21,-,-,4.6%,6.1%,62.7%,64.6%,41.2%,55.9%,44.5%,50.2%,1.01
Quarter-finals,111,73,38,65.8%,151-91,62.4%,1235-1039,54.3%,15-12,55.6%,33,-,-,4.2%,5.8%,61.8%,65.1%,46.4%,58.0%,43.6%,50.9%,1.04
vs Righties,617,439,178,71.2%,930-452,67.3%,7252-5489,56.9%,83-58,58.9%,210,-,-,4.8%,6.3%,61.5%,68.0%,46.0%,59.6%,46.1%,52.9%,1.14
vs Lefties,60,44,16,73.3%,90-44,67.2%,728-553,56.8%,9-9,50.0%,15,-,-,6.3%,8.6%,60.0%,70.5%,43.8%,59.8%,45.6%,52.7%,1.13
vs Top 10,158,75,83,47.5%,172-194,47.0%,1714-1803,48.7%,26-25,51.0%,43,-,-,4.4%,6.3%,60.2%,63.3%,44.6%,55.8%,40.9%,48.6%,0.93
