Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,7,3,4,42.9%,6-7,46.2%,52-54,49.1%,1-0,100.0%,7,45.7%,42.9%,1.0%,1.9%,68.3%,51.2%,43.9%,48.9%,46.9%,47.9%,0.92
Clay,50,27,23,54.0%,59-57,50.9%,538-532,50.3%,6-4,60.0%,47,53.7%,45.5%,0.5%,4.1%,66.2%,55.5%,44.1%,51.7%,48.7%,50.2%,1.01
Finals,3,2,1,66.7%,4-2,66.7%,31-25,55.4%,0-0,-,3,53.6%,57.1%,0.5%,2.1%,71.8%,57.0%,41.5%,52.7%,51.5%,52.1%,1.09
Semi-finals,4,3,1,75.0%,6-3,66.7%,48-39,55.2%,1-1,50.0%,4,50.0%,60.5%,0.0%,2.8%,70.9%,49.5%,51.8%,50.2%,52.5%,51.4%,1.05
Quarter-finals,9,4,5,44.4%,9-12,42.9%,94-99,48.7%,0-1,0.0%,8,55.4%,43.8%,0.6%,4.1%,62.6%,55.4%,45.9%,51.9%,48.5%,50.2%,1.01
vs Righties,35,16,19,45.7%,35-44,44.3%,350-378,48.1%,3-3,50.0%,34,52.4%,44.2%,0.4%,3.9%,68.2%,53.9%,44.5%,50.9%,47.7%,49.3%,0.97
vs Lefties,2,1,1,50.0%,2-3,40.0%,20-25,44.4%,0-0,-,2,59.1%,30.4%,1.4%,4.8%,59.2%,62.1%,40.0%,53.1%,42.8%,48.1%,0.91
