Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,2,0,2,0.0%,1,1,0,100.0%,2022,2025,Q1,2,0.79,0.0%,4.1%,68.6%,52.6%,37.7%,47.9%,41.1%,53.6%,50.0%
Roland Garros,1,Clay,4,3,1,75.0%,1,1,0,100.0%,2024,2024,R128,4,1.10,0.0%,3.1%,69.2%,62.4%,47.1%,57.7%,46.6%,58.3%,36.8%
Wimbledon,2,Grass,3,1,2,33.3%,0,0,0,-,2021,2022,Q2,3,0.85,0.4%,4.5%,66.3%,58.9%,42.2%,53.3%,39.6%,58.3%,41.7%
US Open,3,Hard,3,0,3,0.0%,1,1,0,100.0%,2021,2025,Q1,3,0.63,0.0%,4.2%,68.7%,44.2%,34.3%,41.1%,37.0%,21.4%,50.0%
Iasi,2,Clay,5,3,2,60.0%,1,0,1,0.0%,2024,2025,R16,5,1.02,0.5%,1.6%,70.8%,54.2%,42.9%,50.9%,50.2%,50.0%,54.1%
La Bisbal d'Emporda 125,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2023,2025,R32,1,0.51,0.0%,2.6%,71.8%,50.0%,36.4%,46.2%,27.7%,0.0%,0.0%
Austin,2,Hard,2,0,2,0.0%,1,1,0,100.0%,2024,2025,Q1,2,0.72,1.3%,2.5%,66.5%,49.5%,32.1%,43.7%,40.8%,46.4%,40.0%
Valencia 125,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2022,2024,R32,2,0.73,0.8%,3.0%,69.9%,45.2%,45.0%,45.1%,40.3%,36.8%,33.3%
Madrid,2,Clay,5,3,2,60.0%,4,3,1,75.0%,2023,2024,R64,5,0.98,1.3%,2.6%,66.2%,58.0%,47.7%,54.5%,44.6%,50.0%,45.7%
Budapest,2,Clay,3,1,2,33.3%,0,0,0,-,2021,2023,R32,3,1.03,0.0%,1.4%,76.7%,56.5%,46.9%,54.3%,46.9%,53.6%,48.1%
