Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,8,3,5,37.5%,2,0,2,0.0%,1993,1999,R32,8,0.91,5.4%,2.5%,60.6%,68.6%,41.7%,58.0%,38.3%,48.8%,40.5%
Roland Garros,9,Clay,21,12,9,57.1%,4,2,2,50.0%,1991,1999,R16,19,1.14,4.9%,2.2%,60.3%,70.2%,47.6%,61.2%,44.4%,56.5%,40.2%
Wimbledon,5,Grass,8,3,5,37.5%,4,3,1,75.0%,1990,1996,R64,7,0.90,4.5%,5.5%,58.0%,73.2%,40.9%,59.6%,36.4%,63.4%,35.6%
US Open,6,Hard,13,7,6,53.8%,8,4,4,50.0%,1992,1998,R16,12,0.96,7.4%,4.0%,55.1%,75.9%,47.8%,63.3%,35.3%,64.3%,47.3%
Olympics,1,,1,0,1,0.0%,0,0,0,-,1996,1996,R64,0,,,,,,,,,,
Davis Cup,5,,9,5,4,55.6%,2,1,1,50.0%,1992,1996,,0,,,,,,,,,,
Barcelona,12,Clay,32,21,11,65.6%,7,6,1,85.7%,1988,1999,W,26,1.16,7.5%,2.9%,54.0%,73.7%,50.9%,63.2%,42.8%,60.1%,43.3%
Estoril,8,Clay,20,14,6,70.0%,8,4,4,50.0%,1992,1999,W,20,1.14,3.9%,3.7%,53.2%,69.0%,52.3%,61.2%,44.2%,56.4%,49.5%
Palermo,8,Clay,14,6,8,42.9%,2,0,2,0.0%,1989,1998,QF,13,1.07,7.6%,3.8%,59.2%,69.5%,47.2%,60.4%,42.5%,44.3%,44.0%
Monte Carlo Masters,7,Clay,19,12,7,63.2%,4,1,3,25.0%,1992,1998,QF,19,1.12,3.1%,2.2%,57.5%,63.0%,52.4%,58.5%,46.6%,52.4%,52.2%
Hamburg Masters,7,Clay,16,9,7,56.3%,4,2,2,50.0%,1992,1998,SF,16,1.08,3.7%,2.2%,59.5%,66.2%,50.4%,59.8%,43.2%,60.2%,37.7%
Stuttgart Outdoor,6,Clay,14,8,6,57.1%,9,3,6,33.3%,1991,1998,QF,14,1.09,5.6%,3.5%,56.1%,69.7%,52.6%,62.2%,41.1%,61.3%,40.5%
