Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
1999,472,59,,,,,,,,,1357,1,,
1998,67,710,80,1759,81,1680,58,1761,,,1306,2,,
1997,56,739,61,1804,97,1670,42,1817,,,342,155,,
1996,61,754,76,1797,73,1733,49,1805,80,1614,336,146,,
1995,31,,30,1886,34,1819,19,1883,,,349,127,,
1994,27,,59,1828,45,1794,30,1861,66,1654,329,144,,
1993,26,,18,1992,24,1877,12,1997,37,1732,98,660,,
1992,14,,38,1878,55,1774,20,1917,63,1658,135,436,,
1991,55,,39,1872,73,1732,18,1888,,,100,525,,
1990,151,,,,,,,,,,116,465,,
1989,201,,,,,,,,,,54,,,
1988,243,,,,,,,,,,265,,,
1987,638,,,,,,,,,,,,,
1986,870,,,,,,,,,,,,,
