Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,1,Hard,2,1,1,50.0%,0,0,0,-,2019,2019,Q2,2,1.03,5.4%,5.4%,72.1%,67.7%,38.9%,59.7%,41.5%,66.7%,45.5%
Roland Garros,1,Clay,1,0,1,0.0%,0,0,0,-,2019,2019,Q1,1,0.75,8.8%,4.4%,60.3%,61.0%,29.6%,48.5%,38.8%,44.4%,50.0%
Wimbledon,1,Grass,2,1,1,50.0%,2,1,1,50.0%,2019,2019,Q2,2,0.94,9.9%,4.9%,68.0%,71.7%,40.0%,61.6%,36.1%,75.0%,33.3%
US Open,2,Hard,5,3,2,60.0%,1,1,0,100.0%,2017,2018,R128,2,0.81,4.9%,6.3%,63.2%,61.5%,43.4%,54.9%,36.6%,63.6%,14.3%
Stuttgart,6,Clay,11,5,6,45.5%,5,3,2,60.0%,2013,2021,Q3,11,0.94,7.1%,4.3%,63.7%,66.9%,50.3%,60.9%,36.6%,60.8%,47.3%
Bastad,2,Clay,2,0,2,0.0%,3,1,2,33.3%,2017,2019,R32,2,0.92,1.9%,5.8%,61.2%,61.1%,47.5%,55.8%,40.5%,54.5%,36.4%
Nurnberg,3,Clay,7,4,3,57.1%,4,2,2,50.0%,2016,2018,R32,7,1.08,6.4%,4.6%,65.0%,70.5%,44.7%,61.5%,41.5%,61.2%,48.9%
