Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2021 Wimbledon R128,L vs Cirstea,33% (3/9),33% (1/3),1/3,56% (5/9),20% (1/5),1/1,0/0,0/1,0/0,0/1
2019 W25 Chiswick R16,W vs Appleton,86% (6/7),83% (5/6),0/0,25% (2/8),50% (1/2),5/5,2/2,0/0,1/1,0/0
2019 W25 Santa Margarita de Montbui R16,L vs Rus,33% (5/15),100% (5/5),3/5,53% (8/15),25% (2/8),2/5,1/1,2/3,0/0,2/2
2019 W25 Jerusalem QF,W vs Mihalikova,60% (6/10),83% (5/6),1/2,42% (5/12),20% (1/5),2/5,1/1,0/0,1/1,0/0
2019 W25 Jerusalem R16,W vs Tahan,55% (6/11),100% (6/6),2/2,33% (3/9),33% (1/3),4/4,0/0,0/0,0/0,0/0
2019 W25 Namangan R16,L vs Talbi,55% (6/11),67% (4/6),1/4,45% (5/11),0% (0/5),2/4,0/0,2/3,0/0,2/2
2019 W25 Namangan R32,W vs Abduraimova,67% (6/9),50% (3/6),0/0,11% (1/9),100% (1/1),3/3,2/2,0/0,1/1,0/0
2019 W25 Sunderland R32,L vs Andrei,50% (4/8),75% (3/4),3/6,100% (8/8),13% (1/8),1/3,0/0,0/1,0/0,0/1
2017 Solapur $15K SF,L vs Thamchaiwat,60% (6/10),50% (3/6),0/5,82% (9/11),33% (3/9),2/3,1/1,0/1,0/0,0/1
2017 Solapur $15K QF,W vs Udvardy,27% (3/11),67% (2/3),1/1,27% (3/11),67% (2/3),1/1,0/0,2/2,0/0,0/0
2017 Solapur $15K R16,W vs Sharma,78% (7/9),71% (5/7),1/1,25% (2/8),50% (1/2),3/4,1/1,0/0,0/0,0/0
2017 Shrewsbury $25K QF,L vs Friedsam,30% (3/10),100% (3/3),2/5,67% (6/9),17% (1/6),2/2,0/0,0/0,0/0,0/0
2017 Shrewsbury $25K R32,W vs Jorovic,43% (6/14),67% (4/6),0/4,29% (4/14),0% (0/4),2/3,0/0,2/2,0/0,0/0
2017 Wirral $15K F,W vs Silva,50% (4/8),100% (4/4),0/0,0% (0/8),- (0/0),4/4,2/2,0/0,1/1,0/0
2017 Wirral $15K SF,W vs Lumsden,43% (6/14),83% (5/6),2/4,29% (4/14),0% (0/4),4/4,1/1,0/0,1/1,0/0
2017 Wirral $15K QF,W vs Rueffer,60% (6/10),83% (5/6),0/2,33% (3/9),33% (1/3),2/4,1/2,0/0,0/0,0/0
2017 Wirral $15K R16,W vs Loughlan,44% (4/9),50% (2/4),0/0,20% (2/10),100% (2/2),2/2,2/2,0/0,1/1,0/0
2017 Wirral $15K R32,W vs Van Der Hoek,88% (7/8),57% (4/7),0/0,13% (1/8),100% (1/1),4/4,2/2,0/0,1/1,0/0
2017 Cherboug en Cotentin $25K QF,L vs Gervais,13% (1/8),0% (0/1),0/3,75% (6/8),33% (2/6),0/0,0/0,0/1,0/0,0/1
2017 Cherboug en Cotentin $25K R16,W vs Reix,60% (6/10),67% (4/6),0/2,30% (3/10),33% (1/3),3/4,1/2,1/1,0/1,0/0
2021 (1 matches),,33.3%,33.3%,33.3%,55.6%,20.0%,100.0%,-,0.0%,-,0.0%
2019 (7 matches),,54.9%,79.5%,52.6%,44.4%,21.9%,65.5%,100.0%,57.1%,100.0%,80.0%
2017 (26 matches),,47.0%,71.4%,32.1%,43.0%,25.4%,71.1%,76.0%,70.4%,63.6%,50.0%
2016 (18 matches),,58.5%,73.7%,40.0%,43.1%,29.5%,70.5%,72.0%,71.4%,70.0%,62.5%
2014 (12 matches),,54.0%,73.8%,35.1%,48.1%,23.1%,76.9%,66.7%,50.0%,60.0%,0.0%
Career (96 matches),,52.4%,75.2%,37.4%,45.5%,26.2%,70.1%,75.0%,65.6%,65.9%,60.0%
