Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2024,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,28.6%,12.5%,1.9%,17.3%,53.8%,57.1%,29.2%,44.2%,36.5%,40.4%,0.66,R32 (Guadalajara 125)
2022,3,1,2,33.3%,3-4,42.9%,24-37,39.3%,2-0,100.0%,0,,,,,,,,,,,,R16 (W25 Birmingham)
2021,3,0,3,0.0%,1-5,16.7%,22-35,38.6%,0-0,-,0,,,,,,,,,,,,R32 (3x)
2020,17,10,7,58.8%,21-16,56.8%,188-157,54.5%,1-2,33.3%,1,44.4%,30.0%,0.0%,3.3%,75.4%,45.7%,46.7%,45.9%,42.1%,44.1%,0.78,W (W25 Potchefstroom)
2019,39,25,14,64.1%,53-31,63.1%,435-380,53.4%,6-7,46.2%,0,,,,,,,,,,,,W (W25 Chiswick)
2018,14,7,7,50.0%,16-17,48.5%,157-140,52.9%,0-2,0.0%,0,,,,,,,,,,,,F (Santarem $15K)
2017,33,20,13,60.6%,48-30,61.5%,385-342,53.0%,7-6,53.8%,0,,,,,,,,,,,,W (Wirral $15K)
2016,24,15,9,62.5%,32-21,60.4%,286-205,58.2%,0-5,0.0%,0,,,,,,,,,,,,F (Sharm El Sheikh $10K)
2014,22,9,13,40.9%,23-26,46.9%,222-227,49.4%,1-2,33.3%,0,,,,,,,,,,,,SF (Edgbaston 25K)
2013,44,23,21,52.3%,54-46,54.0%,487-437,52.7%,6-5,54.5%,0,,,,,,,,,,,,F (2x)
2012,49,27,22,55.1%,62-54,53.4%,545-500,52.2%,4-6,40.0%,0,,,,,,,,,,,,W (Glasgow 25K)
2011,48,24,24,50.0%,57-57,50.0%,532-526,50.3%,5-1,83.3%,0,,,,,,,,,,,,F (Rethymno Creta Island 10K)
2010,5,4,1,80.0%,9-2,81.8%,62-43,59.0%,0-0,-,0,,,,,,,,,,,,F (Sunderland 10K)
2007,4,3,1,75.0%,5-2,71.4%,38-26,59.4%,0-0,-,0,,,,,,,,,,,,SF (Frinton 10K)
2006,10,3,7,30.0%,8-16,33.3%,96-124,43.6%,1-2,33.3%,0,,,,,,,,,,,,R16 (3x)
2005,9,3,6,33.3%,11-12,47.8%,98-108,47.6%,0-1,0.0%,0,,,,,,,,,,,,QF (Dublin 10K)
2004,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Manchester 10K)
Career,326,174,152,53.4%,403-343,54.0%,3583-3311,52.0%,33-39,45.8%,2,37.5%,22.2%,0.9%,9.7%,65.5%,50.0%,35.9%,45.1%,39.4%,42.3%,0.72,
