Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 Wimbledon R128,L vs Cirstea,15,22,0.7,12.0%,17.6%,13,15,0.9,11.6%,13.4%,7.1%,4.5%,1.2,18.4%,16.0%
2014 Wimbledon R128,L vs Sharapova,11,14,0.8,12.4%,15.7%,7,8,0.9,9.9%,11.3%,7.0%,2.8%,1.4,14.6%,10.1%
Career (2 matches),,26,36,0.7,12.1%,16.8%,20,23,0.9,10.9%,12.6%,7.1%,3.8%,1.2,16.8%,13.6%
