Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Martina Navratilova [USA],0,10,0.0%,0,0,0,-,1973,1982,0,,,,,,,,,,
9,Janet Newberry [USA],4,5,44.4%,3,3,0,100.0%,1972,1978,0,,,,,,,,,,
8,Virginia Wade [GBR],0,8,0.0%,1,0,1,0.0%,1968,1979,0,,,,,,,,,,
7,Glynis Coles [GBR],5,2,71.4%,2,1,1,50.0%,1973,1981,0,,,,,,,,,,
7,Betsy Nagelsen [USA],3,4,42.9%,2,1,1,50.0%,1976,1980,0,,,,,,,,,,
7,Ann Kiyomura Hayashi [USA],2,5,28.6%,0,0,0,-,1976,1980,0,,,,,,,,,,
7,Chris Evert [USA],0,7,0.0%,0,0,0,-,1971,1980,0,,,,,,,,,,
7,Betty Ann Grubb [USA],4,3,57.1%,3,2,1,66.7%,1968,1980,0,,,,,,,,,,
7,Dianne Fromholtz [AUS],1,6,14.3%,2,1,1,50.0%,1974,1980,0,,,,,,,,,,
7,Cynthia Doerner [AUS],5,2,71.4%,0,0,0,-,1973,1978,0,,,,,,,,,,
7,Nancy Richey [USA],2,5,28.6%,0,0,0,-,1970,1977,0,,,,,,,,,,
7,Valerie Ziegenfuss [USA],2,5,28.6%,1,1,0,100.0%,1969,1976,0,,,,,,,,,,
6,Renata Tomanova [GER],3,3,50.0%,1,1,0,100.0%,1974,1981,0,,,,,,,,,,
6,Terry Holladay [USA],4,2,66.7%,4,2,2,50.0%,1974,1979,0,,,,,,,,,,
6,Brigette Cuypers [RSA],2,4,33.3%,3,1,2,33.3%,1976,1979,0,,,,,,,,,,
