Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1982,,,122,1600,92,1540,109,1535,97,1533,,,,
1981,,,92,1643,71,1560,78,1590,63,1575,,,,
1980,,,49,1718,41,1613,37,1671,,,,,,
1979,,,33,1742,25,1661,22,1701,40,1626,,,,
1978,,,44,1705,39,1612,25,1684,46,1608,,,,
1977,,,29,1776,29,1633,17,1765,52,1588,,,,
1976,,,36,1756,33,1644,36,1700,43,1611,,,,
1975,,,47,1740,38,1621,48,1672,57,1589,,,,
1974,,,43,1729,28,1634,49,1636,48,1617,,,,
1973,,,58,1648,55,1500,58,1604,63,1542,,,,
1972,,,60,1631,49,1528,62,1562,59,1554,,,,
1971,,,46,1687,,,46,1600,42,1606,,,,
1970,,,73,1534,,,57,1525,71,1441,,,,
1968,,,104,1391,,,117,1300,83,1377,,,,
