Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 Wimbledon R32,L vs Zverev,106.7,111.1,8.2,114.1,108.1,122,83,91.0,4.4,92.3,90.7,99,82
2024 Wimbledon R64,W vs Draper,101.9,108.8,7.9,113.2,104.5,121,88,87.6,5.2,89.0,90.5,99,77
2024 Wimbledon R128,W vs Diaz Acosta,104.9,110.3,6.0,114.1,106.5,121,98,91.0,5.6,95.0,92.7,98,77
2023 US Open R32,L vs Arnaldi,102.7,108.8,7.9,111.1,105.2,121,88,88.6,4.3,88.0,,97,80
2023 US Open R64,W vs Hsu,102.3,109.0,8.7,115.0,104.0,122,87,86.9,4.1,86.7,84.0,98,81
2023 US Open R128,W vs Shevchenko,105.0,112.4,6.1,115.5,105.8,122,95,88.0,4.3,77.0,97.0,97,77
2023 Wimbledon R64,L vs Eubanks,106.7,113.1,6.4,115.8,108.3,125,93,94.4,4.0,91.7,92.7,105,88
2023 Wimbledon R128,W vs Machac,105.9,111.7,7.7,115.8,107.3,123,88,95.0,4.3,96.8,96.3,105,84
2022 US Open R16,L vs Rublev,102.9,112.8,6.8,116.2,109.1,123,97,88.7,3.9,89.9,88.0,99,82
2022 US Open R32,W vs Rune,105.6,111.8,7.0,113.5,107.1,123,98,88.6,4.3,89.2,87.3,97,80
2022 US Open R64,W vs Sousa,100.5,107.8,13.0,109.9,102.1,122,60,86.6,3.6,84.3,87.9,95,80
2022 US Open R128,W vs Paire,100.5,106.5,12.8,115.1,105.8,123,62,85.4,4.2,,85.0,93,75
2022 Wimbledon SF,L vs Djokovic,105.3,114.6,6.2,116.8,108.9,127,100,92.2,4.2,93.2,90.6,102,84
2022 Wimbledon QF,W vs Goffin,105.3,112.7,6.0,115.7,110.0,124,94,91.5,5.0,93.2,94.7,104,80
2022 Wimbledon R16,W vs Paul,107.3,113.4,6.2,116.4,109.7,122,98,90.8,4.5,89.5,89.0,99,80
2022 Wimbledon R32,W vs Johnson,104.1,110.8,6.7,113.5,106.7,123,98,89.9,3.5,90.0,89.0,97,83
2022 Wimbledon R64,W vs Munar,103.7,111.8,7.5,114.0,107.4,125,92,89.7,4.3,90.2,92.5,100,81
2022 Wimbledon R128,W vs Andujar,104.0,112.2,7.8,116.5,108.6,123,91,89.4,3.9,86.8,91.7,96,80
2021 US Open R128,L vs Alcaraz,97.8,105.0,13.3,110.4,101.6,119,64,86.5,4.5,83.8,88.2,99,79
2021 Wimbledon R32,L vs Federer,103.5,110.1,7.2,112.7,107.4,122,94,88.6,4.1,90.0,85.3,97,80
Career (31 matches),,103.4,110.1,7.9,113.5,106.4,138,60,89.5,4.5,89.3,90.7,105,63
