Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Rotterdam R32,W vs Bautista Agut,1.3%,100.0%,10.6%,68.8%,13.7%,34.4%,16.0%,7.3%,9.5%,0.0%,-,-8,1
2025 Metz F,L vs Tien,0.0%,-,10.2%,60.0%,10.2%,25.0%,20.0%,8.8%,25.0%,0.5%,50.0%,-40,-34
2025 Paris R16,L vs Vacherot,0.0%,-,8.2%,54.5%,10.6%,18.5%,3.6%,11.1%,25.0%,1.2%,0.0%,-82,-52
2025 Paris R32,W vs Alcaraz,1.1%,100.0%,17.1%,78.1%,17.4%,14.8%,5.9%,11.6%,0.0%,0.4%,0.0%,-20,-28
2025 Washington R32,W vs Musetti,1.1%,0.0%,14.0%,82.6%,11.4%,16.0%,10.5%,10.9%,10.5%,1.3%,50.0%,-49,-22
2025 Roland Garros R16,L vs Djokovic,1.5%,100.0%,13.2%,66.7%,8.3%,15.6%,8.3%,11.0%,13.3%,1.9%,50.0%,-78,-94
2025 Roland Garros R128,W vs Medvedev,0.0%,-,12.9%,73.8%,10.9%,14.9%,3.7%,8.4%,18.4%,2.3%,40.0%,-51,-59
2024 Metz F,L vs Bonzi,0.0%,-,15.9%,72.0%,13.2%,18.5%,6.3%,14.1%,25.0%,0.4%,0.0%,-24,-31
2024 Eastbourne R32,L vs Ruusuvuori,1.6%,100.0%,12.1%,94.1%,11.1%,16.7%,10.0%,4.1%,14.3%,2.0%,20.0%,-2,6
2024 Madrid R64,W vs Fonseca,1.9%,100.0%,6.8%,100.0%,13.9%,13.6%,7.7%,0.0%,0.0%,1.3%,100.0%,-73,-101
2024 Indian Wells R32,L vs Monfils,0.0%,-,16.3%,63.4%,9.8%,10.0%,2.5%,7.3%,21.4%,4.3%,36.4%,-13,-10
2024 Rio de Janeiro SF,L vs Navone,20.7%,70.6%,17.9%,64.0%,9.5%,20.0%,5.9%,6.6%,14.3%,2.0%,25.0%,41,29
2024 Rio de Janeiro QF,W vs Seyboth Wild,2.9%,50.0%,11.6%,76.5%,16.3%,8.6%,7.7%,8.1%,4.3%,2.0%,20.0%,-38,-15
2024 Australian Open R16,L vs Zverev,3.8%,50.0%,14.7%,66.0%,12.8%,19.7%,10.0%,10.3%,10.8%,4.2%,52.2%,12,4
2024 Australian Open R32,W vs Ruud,6.8%,62.5%,21.9%,76.4%,16.0%,28.9%,13.3%,11.2%,17.2%,2.2%,75.0%,51,25
2023 United Cup RR,W vs De Minaur,2.4%,100.0%,18.2%,80.6%,8.5%,13.9%,2.7%,4.9%,13.6%,0.8%,0.0%,-60,-39
2023 Lyon SF,L vs Cerundolo,1.7%,100.0%,10.2%,70.0%,11.8%,5.0%,0.0%,3.8%,12.5%,0.6%,0.0%,33,-33
2023 Rome R16,L vs Djokovic,0.0%,-,10.8%,58.3%,14.4%,23.8%,11.1%,5.0%,16.7%,1.7%,25.0%,-34,-37
2023 Monte Carlo R64,L vs Cerundolo,2.1%,100.0%,10.2%,60.0%,4.3%,5.3%,0.0%,3.6%,14.3%,0.0%,-,-83,-79
2023 Indian Wells QF,L vs Tiafoe,0.0%,-,12.8%,40.0%,15.6%,23.1%,18.2%,11.3%,20.0%,0.5%,100.0%,0,9
Career (77 matches),,1.8%,61.8%,11.7%,69.1%,11.2%,18.2%,6.7%,7.1%,13.3%,1.0%,37.3%,-43,-36
