Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,19,10,9,52.6%,13,7,6,53.8%,2018,2026,R16,19,1.00,7.1%,2.6%,66.1%,69.5%,53.1%,64.0%,35.9%,66.2%,35.4%
Roland Garros,8,Clay,18,10,8,55.6%,5,3,2,60.0%,2018,2025,R16,18,1.03,3.5%,2.9%,65.3%,65.8%,47.6%,59.5%,41.6%,61.0%,43.6%
Wimbledon,8,Grass,23,15,8,65.2%,13,6,7,46.2%,2017,2025,SF,23,1.03,6.4%,3.1%,66.3%,71.2%,50.9%,64.4%,36.7%,64.0%,45.3%
US Open,8,Hard,22,14,8,63.6%,12,8,4,66.7%,2017,2025,R16,19,1.03,7.1%,4.0%,63.7%,69.8%,48.8%,62.2%,38.8%,67.3%,39.0%
Davis Cup,6,,18,10,8,55.6%,8,3,5,37.5%,2018,2026,,12,1.06,4.8%,3.7%,65.9%,68.4%,45.3%,60.5%,41.7%,66.1%,45.3%
Miami Masters,8,Hard,15,7,8,46.7%,6,2,4,33.3%,2018,2026,R16,15,1.02,8.8%,3.0%,64.9%,70.4%,49.1%,62.9%,37.9%,59.6%,37.6%
Indian Wells Masters,8,Hard,27,20,7,74.1%,3,1,2,33.3%,2018,2026,W,27,1.17,5.4%,4.0%,61.2%,71.0%,47.7%,62.0%,44.5%,61.1%,45.8%
Acapulco,7,Hard,18,11,7,61.1%,5,2,3,40.0%,2018,2026,F,18,1.08,5.2%,3.9%,65.6%,67.8%,50.6%,61.9%,41.0%,59.8%,49.6%
Rotterdam,3,Hard,9,6,3,66.7%,4,2,2,50.0%,2021,2026,QF,9,1.19,6.9%,3.5%,62.2%,70.2%,50.0%,62.5%,44.6%,64.4%,45.9%
Auckland,10,Hard,23,13,10,56.5%,7,2,5,28.6%,2013,2026,F,21,1.07,7.2%,3.2%,65.6%,71.0%,51.9%,64.4%,37.9%,69.1%,37.0%
Metz,2,Hard,10,8,2,80.0%,8,3,5,37.5%,2024,2025,F,10,1.20,6.6%,1.4%,72.4%,70.9%,64.7%,69.2%,37.0%,71.7%,35.9%
