Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),24,1753,32,1855,34,1802,20,1828,22,1748,,,,
2025,27,1563,31,1856,35,1794,24,1829,23,1749,,,,
2024,49,1119,60,1776,53,1749,34,1767,44,1688,194,360,,
2023,18,1940,39,1815,39,1768,17,1833,25,1736,,,,
2022,14,2445,17,1933,19,1878,12,1884,16,1797,,,,
2021,12,2945,12,1944,14,1876,14,1878,18,1760,,,,
2020,71,877,94,1693,73,1677,117,1576,,,,,,
2019,53,975,67,1754,68,1717,86,1649,111,1576,159,450,109,1563
2018,90,627,113,1669,109,1627,110,1602,136,1507,182,357,,
2017,114,521,94,1704,83,1675,,,144,1500,631,75,,
2016,276,183,329,1351,307,1336,,,,,538,98,,
2015,717,35,,,,,,,,,,,,
2014,670,37,,,,,,,,,1032,27,,
2013,979,11,,,,,,,,,1126,18,,
