Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2010,243,194,143,1608,,,122,1593,,,1003,20,,
2009,128,431,119,1656,138,1576,99,1650,135,1506,141,495,,
2008,100,473,108,1691,112,1614,85,1678,,,120,490,,
2007,143,308,92,1698,108,1609,62,1699,,,239,245,,
2006,61,641,71,1733,85,1645,46,1747,105,1539,79,684,81,1584
2005,50,711,68,1764,74,1688,41,1777,107,1541,207,241,101,1513
2004,68,580,89,1717,94,1649,62,1721,114,1536,98,583,94,1521
2003,54,667,80,1733,76,1681,64,1712,103,1559,193,237,120,1438
2002,61,640,58,1792,65,1716,42,1783,86,1596,148,336,,
2001,41,933,69,1769,76,1677,44,1784,100,1580,194,291,,
2000,79,518,111,1691,134,1576,67,1718,98,1574,86,740,,
1999,57,805,60,1806,102,1650,48,1801,63,1652,103,637,,
1998,105,455,88,1747,185,1518,74,1734,,,97,661,,
1997,111,441,183,1594,260,1380,148,1587,,,77,854,,
1996,226,174,243,1507,,,212,1496,,,254,215,,
1995,205,,,,,,,,,,626,47,,
1994,753,,,,,,,,,,569,52,,
1993,851,,,,,,,,,,,,,
