Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2017 Roland Garros R128,L vs Ostapenko,3.3,2.9,3.8,46.3%,45.2%,38.9%,57.1%,56.3%,17.3%,2.5,2.1,-5.5,-6.5
2017 Indian Wells R128,W vs Schiavone,4.9,4.5,5.3,61.8%,41.7%,57.1%,56.3%,41.7%,18.5%,13.5,15.9,0.0,0.0
2017 Australian Open R128,L vs Bouchard,3.9,3.4,4.3,40.0%,37.5%,33.3%,28.6%,56.6%,8.1%,-7.0,-8.8,-2.0,-3.5
2016 Hong Kong R16,L vs Kerber,5.7,6.3,5.0,55.6%,38.1%,39.1%,37.5%,54.9%,12.6%,-5.0,-2.5,2.0,1.3
2016 Roland Garros Q3,W vs Khromacheva,4.7,4.5,5.0,56.6%,63.0%,42.9%,66.7%,53.6%,8.2%,20.5,19.3,12.5,14.0
2016 Madrid QF,W vs Saville,4.8,5.3,4.5,52.4%,64.5%,47.1%,61.9%,52.2%,11.2%,16.5,10.9,0.5,0.4
2016 Madrid R64,W vs Niculescu,6.5,5.6,7.5,60.4%,61.5%,70.8%,36.4%,50.7%,13.3%,9.5,5.1,6.5,4.0
2016 Charleston R64,W vs Osaka,3.3,3.3,3.4,54.6%,57.5%,41.7%,62.5%,56.5%,10.3%,11.5,10.5,6.5,7.6
2015 ITF Indian Harbour Beach SF,W vs Sanchez,3.7,3.3,4.1,52.2%,51.2%,61.5%,44.4%,52.2%,7.6%,0.0,0.0,11.0,10.1
2015 ITF Dothan QF,W vs Pegula,4.0,3.8,4.2,54.5%,53.2%,44.0%,33.3%,53.4%,7.5%,-8.0,-4.6,-1.5,-1.0
2015 Indian Wells R128,L vs Vekic,4.3,4.8,3.8,45.5%,48.1%,43.8%,27.3%,54.7%,11.0%,-8.0,-7.5,1.5,1.9
2015 ITF Midland F,L vs Maria,4.8,5.6,3.7,29.2%,32.0%,16.7%,63.6%,55.6%,20.3%,1.5,1.6,-5.5,-8.9
2015 ITF Midland SF,W vs Vankova,3.4,3.1,3.8,61.0%,71.4%,57.1%,100.0%,60.6%,14.0%,13.0,17.8,4.5,10.7
2015 ITF Midland R32,W vs Sakkari,4.0,4.0,4.0,58.9%,56.1%,45.5%,63.6%,54.9%,12.4%,3.5,2.8,5.0,5.5
Career (14 matches),,4.3,4.2,4.4,52.2%,51.3%,47.6%,49.2%,53.4%,12.2%,4.6,3.7,2.5,2.5
