Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2017 Roland Garros R128,L vs Ostapenko,26.5%,27.5%,29.0%,26.6%,28.1%,34.0%,19.4%,51.5%,57.1%,31.3%,31.3%,18.2%,6.7%,64.7%,75.0%,87
2017 Indian Wells R128,W vs Schiavone,21.1%,31.6%,53.5%,26.7%,40.0%,54.5%,18.2%,36.8%,20.0%,16.0%,24.0%,52.4%,0.0%,60.0%,100.0%,-14
2017 Australian Open R128,L vs Bouchard,23.9%,32.6%,30.3%,30.0%,43.3%,38.1%,50.0%,25.0%,20.0%,14.3%,14.3%,16.7%,9.1%,66.7%,-,25
2016 Hong Kong R16,L vs Kerber,10.7%,21.3%,46.9%,7.3%,22.0%,50.0%,61.1%,13.0%,0.0%,16.1%,22.6%,42.3%,64.3%,23.5%,0.0%,3
2016 Roland Garros Q3,W vs Khromacheva,23.7%,33.9%,50.0%,23.8%,35.7%,59.4%,61.9%,38.1%,0.0%,25.0%,31.3%,25.0%,0.0%,33.3%,50.0%,-33
2016 Madrid QF,W vs Saville,22.4%,35.8%,64.7%,19.5%,34.1%,72.7%,11.1%,39.1%,66.7%,28.0%,40.0%,50.0%,0.0%,73.3%,100.0%,-57
2016 Madrid R64,W vs Niculescu,14.9%,21.6%,54.1%,20.5%,31.8%,62.9%,28.6%,47.8%,60.0%,7.1%,7.1%,42.3%,92.3%,20.0%,0.0%,-42
2016 Charleston R64,W vs Osaka,26.8%,34.0%,44.3%,30.8%,42.3%,55.6%,30.4%,58.6%,100.0%,28.6%,31.4%,28.0%,12.5%,42.1%,50.0%,137
2015 ITF Indian Harbour Beach SF,W vs Sanchez,22.5%,35.0%,43.6%,27.3%,40.9%,37.5%,50.0%,25.0%,66.7%,20.7%,34.5%,52.2%,68.8%,53.8%,100.0%,73
2015 ITF Dothan QF,W vs Pegula,29.0%,31.0%,47.5%,35.6%,39.0%,57.9%,9.1%,48.6%,57.1%,25.8%,25.8%,30.4%,5.9%,21.4%,-,111
2015 Indian Wells R128,L vs Vekic,18.6%,22.0%,39.1%,21.4%,25.0%,36.4%,9.1%,23.5%,0.0%,17.2%,20.7%,41.7%,5.9%,33.3%,0.0%,-26
2015 ITF Midland F,L vs Maria,6.0%,20.0%,42.9%,5.0%,10.0%,31.6%,60.0%,40.0%,50.0%,8.0%,32.0%,52.2%,16.7%,61.5%,50.0%,-42
2015 ITF Midland SF,W vs Vankova,31.4%,43.1%,66.7%,50.0%,57.7%,76.9%,33.3%,7.1%,0.0%,13.0%,30.4%,60.0%,50.0%,23.1%,0.0%,-7
2015 ITF Midland R32,W vs Sakkari,21.5%,34.2%,55.2%,37.2%,51.2%,44.4%,56.3%,29.6%,50.0%,3.1%,15.6%,64.5%,0.0%,28.6%,0.0%,-87
Career (14 matches),,21.9%,30.2%,47.3%,26.4%,36.2%,50.6%,34.4%,36.9%,50.0%,18.4%,25.9%,42.8%,23.6%,41.8%,31.3%,53
