Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,6,9,40.0%,18-23,43.9%,203-221,47.9%,5-4,55.6%,15,81.7%,13.5%,12.0%,4.9%,62.3%,74.3%,50.2%,65.2%,33.2%,49.3%,0.95
Clay,8,4,4,50.0%,9-9,50.0%,80-87,47.9%,0-1,0.0%,7,73.3%,17.6%,7.5%,4.5%,67.0%,69.0%,41.3%,59.9%,34.8%,47.9%,0.87
Grand Slams,5,2,3,40.0%,7-11,38.9%,91-100,47.6%,1-4,20.0%,5,81.3%,16.8%,10.8%,4.1%,67.7%,70.0%,51.0%,63.9%,34.0%,48.9%,0.94
Masters,7,3,4,42.9%,8-8,50.0%,81-80,50.3%,2-1,66.7%,7,84.0%,14.3%,12.0%,5.0%,62.7%,76.4%,51.3%,67.1%,32.8%,50.2%,1.00
Other Tours,10,4,6,40.0%,10-13,43.5%,99-123,44.6%,2-0,100.0%,10,74.8%,12.8%,10.0%,5.3%,60.6%,72.8%,43.7%,61.3%,33.9%,48.1%,0.88
Best of 5,5,2,3,40.0%,7-11,38.9%,91-100,47.6%,1-4,20.0%,5,81.3%,16.8%,10.8%,4.1%,67.7%,70.0%,51.0%,63.9%,34.0%,48.9%,0.94
Best of 3,18,8,10,44.4%,20-21,48.8%,192-208,48.0%,4-1,80.0%,17,78.6%,13.4%,10.8%,5.2%,61.5%,74.3%,46.7%,63.7%,33.4%,48.9%,0.92
Quarter-finals,2,0,2,0.0%,1-4,20.0%,16-29,35.6%,0-0,-,2,59.1%,13.0%,5.4%,4.8%,57.8%,64.7%,43.5%,55.8%,31.5%,44.6%,0.71
vs Righties,19,9,10,47.4%,24-25,49.0%,240-253,48.7%,5-3,62.5%,18,80.1%,14.7%,10.5%,4.5%,63.2%,73.6%,48.7%,64.4%,34.0%,49.5%,0.96
vs Lefties,4,1,3,25.0%,3-7,30.0%,43-55,43.9%,0-2,0.0%,4,76.6%,14.3%,12.1%,6.2%,65.3%,68.7%,44.6%,60.4%,31.5%,46.3%,0.79
vs Top 10,4,0,4,0.0%,1-10,9.1%,44-67,39.6%,0-1,0.0%,4,73.6%,8.8%,8.5%,5.5%,62.7%,69.3%,48.4%,61.5%,28.3%,45.5%,0.74
