Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Indian Wells R128,L vs Kovacevic,59.8%,38.8%,4.9%,2/2,2.24,30.6%,51.8%,41.4%,3.6%,2.38,45.2%,90.9%,35.0%,9.1%,2.00,5.6%
2026 Dubai R32,L vs Mensik,56.3%,27.8%,4.7%,1/2,2.39,31.7%,40.5%,6.7%,5.4%,2.33,59.1%,87.5%,42.9%,4.2%,2.45,0.0%
2026 Rotterdam R32,L vs Bublik,68.9%,40.2%,4.2%,1/4,2.33,16.7%,59.5%,31.8%,1.4%,2.21,40.0%,92.7%,50.0%,9.8%,2.39,2.9%
2026 Montpellier R32,L vs Damm,54.9%,43.6%,11.3%,6/2,2.27,16.2%,50.0%,54.5%,2.3%,1.81,33.3%,70.8%,29.4%,29.2%,2.71,0.0%
2026 Australian Open R64,L vs Quinn,57.4%,46.8%,2.8%,2/1,2.45,36.2%,47.2%,47.1%,1.4%,2.60,66.7%,82.4%,46.4%,5.9%,2.31,9.7%
2026 Australian Open R128,W vs Bergs,62.3%,46.2%,0.7%,0/1,2.22,5.3%,60.5%,42.3%,1.2%,2.15,8.3%,72.2%,51.3%,0.0%,2.29,2.5%
2026 United Cup F,W vs Wawrinka,66.7%,46.2%,1.3%,0/1,2.14,58.2%,55.1%,40.7%,0.0%,2.00,82.8%,89.3%,52.0%,3.6%,2.29,30.8%
2026 United Cup SF,W vs Fritz,60.3%,52.3%,4.1%,1/2,2.15,12.5%,46.8%,45.5%,2.1%,2.06,17.4%,84.6%,59.1%,7.7%,2.39,0.0%
2026 United Cup QF,L vs De Minaur,71.2%,41.9%,0.0%,0/0,1.96,12.5%,59.6%,29.4%,0.0%,2.00,18.8%,87.0%,52.5%,0.0%,1.88,0.0%
2026 United Cup RR,W vs Griekspoor,64.4%,52.6%,1.7%,1/0,2.16,18.2%,56.4%,59.1%,2.6%,2.41,36.4%,80.0%,43.8%,0.0%,1.91,0.0%
2026 United Cup RR,W vs Zverev,56.5%,57.7%,6.5%,1/2,2.55,9.1%,55.0%,68.2%,5.0%,2.58,25.0%,66.7%,0.0%,16.7%,2.53,0.0%
2025 s Hertogenbosch R32,W vs Bautista Agut,78.9%,41.7%,5.3%,2/2,1.94,14.7%,74.0%,35.1%,4.0%,1.53,19.0%,88.5%,52.2%,7.7%,2.54,7.7%
2025 Roland Garros R128,L vs Fonseca,69.0%,34.7%,2.8%,2/0,1.96,31.7%,64.7%,33.3%,0.0%,1.94,44.4%,80.0%,37.5%,10.0%,1.98,12.5%
2025 Geneva F,L vs Djokovic,68.2%,37.3%,2.7%,2/1,2.35,20.5%,59.1%,23.1%,0.0%,2.26,34.8%,87.8%,52.8%,7.3%,2.47,0.0%
2025 Geneva SF,W vs Ofner,56.6%,56.7%,0.0%,0/0,2.13,7.7%,48.6%,58.8%,0.0%,1.97,13.3%,81.3%,53.8%,0.0%,2.36,0.0%
2025 Geneva QF,W vs Fritz,65.2%,44.4%,5.8%,3/1,2.49,9.3%,52.3%,21.7%,2.3%,2.30,16.7%,91.7%,68.2%,12.5%,2.74,0.0%
2025 Geneva R16,W vs Rinderknech,63.8%,56.7%,4.3%,1/1,2.15,12.5%,60.7%,41.2%,3.6%,1.96,16.7%,81.3%,76.9%,6.3%,2.36,8.3%
2025 Geneva R32,W vs Cazaux,63.3%,58.1%,6.1%,2/1,2.37,9.8%,62.5%,55.0%,9.4%,2.57,19.0%,68.8%,63.6%,0.0%,2.14,0.0%
2025 Rome QF,L vs Paul,81.3%,45.9%,2.2%,0/2,2.33,16.7%,79.2%,33.3%,1.9%,2.12,26.9%,86.5%,62.5%,2.7%,2.57,4.5%
2025 Rome R16,W vs Mensik,62.6%,38.9%,3.5%,3/1,2.28,11.9%,46.0%,31.0%,0.0%,2.29,20.4%,93.5%,44.2%,8.7%,2.27,0.0%
Career (329 matches),,69.0%,45.0%,3.3%,51.9%,2.25,20.2%,65.3%,41.2%,2.6%,2.20,31.3%,82.9%,50.6%,4.9%,2.32,7.1%
