Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Indian Wells Masters R128,L vs Kovacevic,24,35,0.7,14.4%,21.0%,13,30,0.4,9.4%,21.7%,7.2%,2.2%,0.8,13.8%,16.8%
2026 Dubai R32,L vs Mensik,24,24,1.0,17.5%,17.5%,14,22,0.6,12.6%,19.8%,9.9%,2.7%,1.8,18.2%,10.2%
2026 Rotterdam R32,L vs Bublik,57,38,1.5,25.2%,16.8%,31,29,1.1,17.8%,16.7%,11.5%,4.6%,1.6,15.0%,9.3%
2026 Montpellier R32,L vs Damm,26,18,1.4,18.2%,12.6%,12,18,0.7,10.6%,15.9%,7.1%,3.5%,1.3,23.1%,17.5%
2026 Australian Open R64,L vs Quinn,21,39,0.5,10.3%,19.2%,12,38,0.3,6.7%,21.2%,3.9%,2.8%,1.0,17.2%,17.2%
2026 Australian Open R128,W vs Bergs,45,54,0.8,15.7%,18.9%,27,52,0.5,11.1%,21.3%,7.8%,3.3%,0.9,15.4%,17.1%
2026 United Cup F,W vs Wawrinka,32,32,1.0,19.0%,19.0%,14,32,0.4,10.1%,23.0%,8.6%,1.4%,1.0,11.9%,12.5%
2026 United Cup SF,W vs Fritz,28,20,1.4,18.8%,13.4%,12,17,0.7,10.2%,14.4%,7.6%,2.5%,1.0,16.1%,16.1%
2026 United Cup QF,L vs De Minaur,39,44,0.9,20.6%,23.3%,20,44,0.5,12.3%,27.0%,8.6%,3.7%,1.2,11.6%,10.1%
2026 United Cup RR,W vs Zverev,34,12,2.8,31.2%,11.0%,13,12,1.1,16.0%,14.8%,11.1%,4.9%,1.8,16.5%,9.2%
2026 United Cup RR,W vs Griekspoor,34,9,3.8,29.8%,7.9%,13,9,1.4,14.6%,10.1%,11.2%,3.4%,0.9,14.0%,15.8%
2025 s Hertogenbosch R32,W vs Bautista Agut,38,24,1.6,26.8%,16.9%,22,22,1.0,17.7%,17.7%,12.1%,5.6%,0.6,7.0%,11.3%
2025 Roland Garros R128,L vs Fonseca,28,27,1.0,18.7%,18.0%,22,27,0.8,16.3%,20.0%,12.6%,3.7%,1.9,22.0%,11.3%
2025 Geneva F,L vs Djokovic,50,39,1.3,21.5%,16.7%,31,35,0.9,15.4%,17.4%,10.4%,5.0%,0.8,14.6%,17.6%
2025 Geneva SF,W vs Ofner,10,12,0.8,9.3%,11.1%,4,11,0.4,4.1%,11.3%,3.1%,1.0%,0.6,13.9%,25.0%
2025 Geneva QF,W vs Fritz,27,15,1.8,19.3%,10.7%,18,13,1.4,15.3%,11.0%,9.3%,5.9%,1.4,19.3%,13.6%
2025 Geneva R16,W vs Rinderknech,19,12,1.6,19.6%,12.4%,9,12,0.8,11.1%,14.8%,9.9%,1.2%,0.6,15.5%,25.8%
2025 Geneva R32,W vs Cazaux,16,19,0.8,14.5%,17.3%,13,16,0.8,13.3%,16.3%,8.2%,5.1%,0.5,11.8%,21.8%
2025 Rome Masters QF,L vs Paul,21,44,0.5,13.0%,27.2%,15,42,0.4,9.9%,27.6%,7.2%,2.6%,0.6,9.9%,16.0%
2025 Rome Masters R16,W vs Mensik,39,47,0.8,15.9%,19.2%,19,44,0.4,9.6%,22.3%,5.6%,4.1%,0.8,15.1%,20.0%
Career (343 matches),,10560,10060,1.0,18.1%,17.2%,6518,9389,0.7,12.9%,18.6%,8.3%,3.8%,0.9,15.2%,16.9%
