Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2019 Wimbledon Q2,W vs Ymer,29.7%,45.3%,48.8%,43.1%,31.9%,53.2%,56.3%,50.2%,23.8%,26.9%,0.0%,26.7%,26.7%,27.3%,99
2019 Stuttgart QF,L vs Auger Aliassime,33.9%,61.3%,55.3%,44.6%,35.8%,64.2%,51.9%,52.2%,50.0%,40.4%,0.0%,35.1%,64.9%,62.5%,132
2019 Stuttgart R16,W vs Zverev,31.6%,53.5%,56.3%,39.9%,42.0%,60.9%,50.0%,55.8%,36.1%,57.6%,66.7%,18.4%,50.0%,64.5%,53
2019 Puerto Vallarta CH R32,W vs King,29.3%,43.4%,50.0%,38.2%,38.3%,51.7%,59.5%,53.0%,53.6%,37.5%,33.3%,18.2%,36.4%,37.0%,51
2019 Sophia Antipolis CH F,W vs Krajinovic,17.9%,38.5%,54.0%,28.6%,26.2%,57.1%,58.1%,46.0%,47.4%,65.2%,0.0%,8.6%,17.1%,50.0%,-37
2019 Sophia Antipolis CH SF,W vs Molleker,38.6%,48.9%,57.4%,48.1%,40.7%,52.5%,57.1%,54.7%,50.0%,60.6%,0.0%,34.5%,41.4%,57.9%,-79
2019 Sophia Antipolis CH R32,W vs Haase,20.6%,44.4%,57.1%,35.7%,25.0%,54.5%,66.7%,46.6%,30.0%,75.0%,66.7%,11.1%,22.2%,37.5%,-2
2019 Sophia Antipolis CH R64,W vs Crepatte,22.7%,40.9%,59.2%,34.8%,26.2%,50.0%,61.3%,45.2%,57.9%,82.6%,100.0%,18.2%,27.3%,55.6%,47
2017 Roland Garros R128,L vs Monfils,20.0%,36.7%,46.0%,27.0%,25.0%,47.5%,46.7%,40.8%,27.3%,50.0%,50.0%,19.5%,34.1%,45.5%,58
2017 Doha R16,L vs Tsonga,25.0%,36.4%,37.5%,30.9%,24.1%,37.9%,40.9%,33.1%,58.8%,41.7%,100.0%,28.6%,35.7%,30.0%,22
2016 Wroclaw CH QF,W vs Olivetti,70.5%,72.7%,50.0%,73.2%,78.8%,78.8%,57.1%,82.4%,46.7%,55.6%,-,62.5%,75.0%,33.3%,334
2016 Montpellier R16,W vs Simon,41.8%,58.2%,62.5%,51.5%,51.4%,70.3%,61.1%,65.7%,64.7%,60.0%,0.0%,22.2%,33.3%,64.3%,-79
2016 Doha R32,L vs Djokovic,18.2%,23.6%,38.5%,25.3%,25.0%,33.3%,40.7%,35.8%,55.0%,12.5%,0.0%,7.7%,7.7%,33.3%,-57
2015 Fairfield CH SF,W vs Tiafoe,40.2%,48.8%,44.2%,44.3%,53.7%,61.0%,31.6%,61.7%,23.8%,30.0%,0.0%,31.4%,42.9%,54.2%,143
2015 Wimbledon R64,W vs Nadal,42.9%,57.1%,49.2%,51.5%,50.6%,64.6%,53.8%,63.7%,37.8%,31.0%,33.3%,31.4%,48.6%,41.7%,110
2015 Halle R32,W vs Haider Maurer,46.4%,62.5%,65.2%,53.0%,58.8%,73.5%,64.3%,69.7%,35.7%,30.0%,-,40.0%,66.7%,66.7%,196
2015 Stuttgart R32,L vs Janowicz,29.7%,43.6%,47.0%,39.3%,32.5%,46.8%,50.0%,45.1%,33.3%,34.1%,42.9%,26.3%,42.1%,35.7%,65
2015 Stuttgart Q3,W vs Berrer,35.5%,50.0%,57.5%,47.8%,46.2%,63.5%,64.3%,64.0%,45.5%,40.0%,0.0%,20.0%,33.3%,41.7%,56
2014 Halle R16,W vs Nadal,41.2%,66.7%,68.0%,52.4%,45.2%,74.2%,70.6%,63.5%,42.9%,29.4%,-,46.7%,73.3%,62.5%,267
2014 Halle R32,W vs Kuznetsov,51.9%,61.5%,52.6%,59.2%,64.7%,76.5%,66.7%,75.9%,56.3%,33.3%,0.0%,41.7%,50.0%,28.6%,187
Career (21 matches),,33.3%,49.3%,52.3%,42.5%,40.1%,57.7%,54.7%,54.4%,43.1%,45.5%,37.5%,25.4%,40.8%,48.4%,122
