Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2015,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,1,-,-,0.0%,5.9%,64.7%,48.5%,27.8%,41.2%,37.9%,39.3%,0.64,R128 (Australian Open)
2014,25,12,13,48.0%,25-28,47.2%,236-256,48.0%,5-1,83.3%,23,-,-,0.5%,2.9%,70.2%,57.7%,43.5%,53.5%,44.5%,49.1%,0.96,F (s Hertogenbosch)
2013,34,17,17,50.0%,38-42,47.5%,352-381,48.0%,5-3,62.5%,33,-,-,0.6%,3.8%,70.9%,57.3%,44.8%,53.7%,44.9%,49.3%,0.97,SF (Guangzhou)
2012,50,26,24,52.0%,55-54,50.5%,497-499,49.9%,3-3,50.0%,39,-,-,0.7%,3.6%,69.5%,61.1%,45.8%,56.4%,44.0%,50.2%,1.01,W (Auckland)
2011,41,18,23,43.9%,43-56,43.4%,428-488,46.7%,3-5,37.5%,36,-,-,0.4%,3.4%,73.9%,56.9%,40.2%,52.5%,44.1%,48.3%,0.93,SF (2x)
2010,41,23,18,56.1%,51-45,53.1%,444-442,50.1%,7-0,100.0%,39,-,-,0.7%,3.9%,70.0%,57.9%,44.7%,54.0%,45.8%,49.9%,1.00,F (Warsaw)
2009,50,28,22,56.0%,63-52,54.8%,574-527,52.1%,6-6,50.0%,45,-,-,0.8%,3.0%,70.6%,60.8%,47.4%,56.8%,45.5%,51.2%,1.05,SF (Monterrey)
2008,35,23,12,65.7%,45-31,59.2%,391-319,55.1%,3-3,50.0%,24,-,-,1.8%,3.1%,65.3%,61.5%,48.2%,56.9%,46.7%,51.9%,1.08,SF (3x)
2007,17,7,10,41.2%,17-20,45.9%,166-169,49.6%,0-3,0.0%,17,-,-,0.7%,2.7%,73.2%,59.6%,44.9%,55.6%,45.4%,50.3%,1.02,QF (Hobart)
2006,42,26,16,61.9%,59-40,59.6%,496-456,52.1%,8-4,66.7%,24,-,-,0.7%,2.5%,72.1%,57.3%,44.6%,53.7%,47.0%,50.4%,1.02,W (2x)
2005,45,29,16,64.4%,62-43,59.0%,527-449,54.0%,4-4,50.0%,3,-,-,0.4%,2.1%,74.9%,57.5%,45.0%,54.4%,41.1%,47.6%,0.90,W (Hobart)
2004,28,10,18,35.7%,25-38,39.7%,276-306,47.4%,2-0,100.0%,5,-,-,0.3%,4.5%,67.9%,55.2%,34.2%,48.5%,41.7%,45.0%,0.81,QF (2x)
2003,20,10,10,50.0%,23-20,53.5%,205-190,51.9%,1-1,50.0%,0,,,,,,,,,,,,SF (Japan Open)
2002,8,5,3,62.5%,10-8,55.6%,87-77,53.0%,2-1,66.7%,0,,,,,,,,,,,,R16 (Shanghai)
Career,437,234,203,53.5%,516-479,51.9%,4682-4571,50.6%,49-34,59.0%,289,-,-,0.7%,3.3%,70.6%,58.8%,44.7%,54.6%,45.1%,49.9%,0.99,
