Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,12,6,6,50.0%,12-14,46.2%,108-121,47.2%,1-2,33.3%,12,57.7%,37.4%,2.5%,7.1%,60.1%,57.8%,44.4%,52.4%,44.3%,48.3%,0.93,SF (Oeiras 125 Indoor 1)
2025,51,27,24,52.9%,64-60,51.6%,571-553,50.8%,2-6,25.0%,49,61.1%,42.9%,3.2%,9.7%,59.8%,62.9%,42.0%,54.5%,47.0%,50.7%,1.03,W (W50 Montemor-o-Novo)
2024,53,30,23,56.6%,66-50,56.9%,566-490,53.6%,3-7,30.0%,3,53.8%,57.7%,1.4%,8.7%,64.9%,58.5%,38.4%,51.4%,52.0%,51.7%,1.07,W (W35 Leiria)
2023,27,10,17,37.0%,28-40,41.2%,300-336,47.2%,5-3,62.5%,0,,,,,,,,,,,,QF (W25 Setubal)
2022,30,10,20,33.3%,24-42,36.4%,279-336,45.4%,2-2,50.0%,0,,,,,,,,,,,,QF (3x)
2021,12,5,7,41.7%,11-17,39.3%,108-138,43.9%,0-3,0.0%,0,,,,,,,,,,,,QF (W25 Porto)
2020,3,1,2,33.3%,2-4,33.3%,22-28,44.0%,0-0,-,0,,,,,,,,,,,,R16 (W15 Oeiras)
2019,5,2,3,40.0%,6-7,46.2%,47-54,46.5%,0-1,0.0%,0,,,,,,,,,,,,R16 (2x)
2018,1,0,1,0.0%,0-2,0.0%,10-14,41.7%,0-0,-,0,,,,,,,,,,,,R32 (Guimaraes $15K)
Career,194,91,103,46.9%,213-236,47.4%,2011-2070,49.3%,13-24,35.1%,64,60.2%,42.5%,3.0%,9.2%,60.1%,61.8%,42.3%,54.0%,46.7%,50.3%,1.02,
