Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R64,L vs Van De Zandschulp,108.6,116.8,8.8,121.3,116.6,130,97,95.1,5.5,95.1,91.7,105,84
2024 US Open R128,W vs Tu,105.6,114.1,6.9,115.4,113.4,127,88,90.9,7.7,92.3,86.0,104,73
2024 Wimbledon F,W vs Djokovic,114.7,121.9,6.7,123.1,119.8,136,102,102.4,6.6,106.8,111.0,120,93
2024 Wimbledon SF,W vs Medvedev,112.7,119.7,8.4,121.0,114.7,134,101,103.1,6.2,104.6,103.4,121,94
2024 Wimbledon QF,W vs Paul,109.6,116.2,8.3,120.5,112.5,132,98,98.9,6.1,105.0,99.3,116,87
2024 Wimbledon R16,W vs Humbert,113.7,117.3,8.2,120.3,112.3,134,99,103.7,5.8,107.7,103.5,121,95
2024 Wimbledon R32,W vs Tiafoe,116.2,122.2,7.7,125.6,116.1,135,103,104.0,6.4,108.3,101.4,117,92
2024 Wimbledon R64,W vs Vukic,112.6,118.5,7.5,121.9,113.2,131,99,99.9,5.5,100.5,102.0,113,93
2024 Wimbledon R128,W vs Lajal,112.4,118.5,8.0,124.2,113.3,132,86,100.9,7.7,101.6,101.0,115,83
2023 US Open SF,L vs Medvedev,104.2,108.5,9.0,114.6,102.2,131,82,94.1,5.6,98.2,96.4,110,86
2023 US Open QF,W vs Zverev,105.4,112.5,8.2,117.9,106.6,130,91,95.2,5.4,95.0,96.0,106,82
2023 US Open R16,W vs Arnaldi,107.7,112.8,10.9,118.8,100.3,129,86,96.5,5.6,101.8,,111,86
2023 US Open R32,W vs Evans,104.8,112.2,9.7,116.2,104.1,128,83,94.2,7.4,95.9,96.7,113,81
2023 US Open R64,W vs Harris,108.5,114.9,9.9,122.6,104.9,129,88,96.4,7.5,95.3,94.1,117,84
2023 US Open R128,W vs Koepfer,107.6,110.7,8.6,115.1,107.0,129,90,99.3,7.5,102.7,,116,93
2023 Wimbledon F,W vs Djokovic,114.8,121.3,6.3,123.1,118.3,132,108,102.5,8.4,104.0,105.4,124,87
2023 Wimbledon SF,W vs Medvedev,110.2,114.8,7.4,117.3,108.2,132,98,97.5,6.5,107.5,96.2,109,88
2023 Wimbledon QF,W vs Rune,112.3,118.6,9.4,124.8,113.4,132,90,101.5,7.9,105.0,92.0,123,92
2023 Wimbledon R16,W vs Berrettini,112.3,118.0,8.9,121.0,112.0,134,94,100.3,10.3,103.1,98.8,127,88
2023 Wimbledon R32,W vs Jarry,112.9,119.0,7.9,120.8,113.6,132,97,101.8,9.9,102.8,99.3,126,88
Career (39 matches),,109.0,115.1,8.7,119.3,109.7,136,69,96.9,6.4,98.8,96.8,131,70
