Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,623,51,,,,,,,,,731,58,,
2023,535,72,,,,,,,,,,,,
2022,361,131,333,1399,322,1357,315,1372,153,1486,,,,
2021,200,323,228,1515,211,1469,220,1466,108,1558,,,,
2020,121,550,119,1632,102,1605,141,1539,,,,,,
2019,116,478,128,1645,122,1606,140,1558,105,1589,232,258,,
2018,149,359,140,1628,134,1591,173,1509,133,1511,360,89,,
2017,314,156,,,,,,,,,267,226,,
2016,477,82,,,,,,,,,330,204,,
2015,696,39,,,,,,,,,514,115,,
2014,688,34,,,,,,,,,974,30,,
2013,1328,4,,,,,,,,,816,42,,
2011,,,,,,,,,,,1334,8,,
