Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Dubai R64,L vs Shnaider,18.2%,23.6%,33.3%,17.1%,22.9%,37.9%,66.7%,35.3%,50.0%,20.0%,25.0%,25.0%,87.5%,41.7%,100.0%,-104
2026 Doha R64,L vs Noskova,16.7%,33.3%,40.0%,17.4%,39.1%,42.1%,40.0%,38.5%,66.7%,15.8%,26.3%,37.5%,11.1%,30.0%,100.0%,-104
2026 Australian Open R128,L vs Valentova,16.9%,27.3%,46.4%,14.3%,28.6%,52.4%,40.0%,54.2%,75.0%,30.0%,35.0%,28.6%,12.5%,58.3%,0.0%,128
2026 Adelaide QF,L vs Andreeva,7.8%,15.7%,31.8%,7.1%,17.9%,34.6%,57.1%,35.7%,33.3%,10.0%,15.0%,27.8%,33.3%,63.6%,75.0%,-19
2026 United Cup QF,L vs Swiatek,15.8%,21.1%,27.6%,20.0%,30.0%,31.3%,57.1%,50.0%,50.0%,13.3%,13.3%,23.1%,25.0%,72.7%,66.7%,9
2025 Hong Kong QF,W vs Sakatsume,18.2%,22.7%,50.0%,23.3%,28.3%,50.0%,46.7%,40.0%,75.0%,8.3%,12.5%,50.0%,9.1%,30.8%,100.0%,-36
2025 Hong Kong R16,W vs Morvayova,29.4%,41.2%,54.5%,38.7%,51.6%,52.6%,52.9%,57.1%,100.0%,17.6%,29.4%,57.1%,16.7%,54.5%,0.0%,54
2025 Beijing R128,W vs Jimenez Kasintseva,19.2%,28.8%,57.5%,21.2%,33.3%,65.4%,60.0%,27.8%,0.0%,17.6%,23.5%,42.9%,28.6%,30.0%,0.0%,23
2025 Seoul SF,L vs Swiatek,7.9%,10.5%,25.7%,6.5%,9.7%,31.0%,31.3%,53.3%,80.0%,14.3%,14.3%,0.0%,25.0%,0.0%,0.0%,-104
2025 Seoul R16,W vs Kenin,41.3%,50.0%,50.0%,45.2%,48.4%,47.1%,31.3%,53.3%,100.0%,35.7%,57.1%,55.6%,0.0%,70.0%,0.0%,-23
2025 US Open R64,L vs Anisimova,31.7%,36.5%,41.0%,27.8%,36.1%,46.2%,56.3%,30.0%,25.0%,43.5%,43.5%,30.8%,55.6%,14.3%,0.0%,75
2025 US Open R128,W vs Jimenez Kasintseva,14.5%,21.7%,50.7%,16.4%,25.5%,52.2%,41.7%,54.8%,75.0%,12.5%,16.7%,47.6%,61.5%,45.5%,-,5
2025 Eastbourne F,W vs Eala,11.2%,19.4%,50.0%,15.1%,28.3%,57.8%,38.9%,45.7%,57.1%,7.9%,10.5%,40.0%,23.5%,61.9%,-,-42
2025 Eastbourne R32,W vs Jabeur,25.0%,32.1%,55.3%,25.8%,32.3%,56.5%,52.9%,42.9%,100.0%,28.6%,38.1%,53.3%,28.6%,50.0%,0.0%,89
2025 Rabat F,W vs Cristian,22.6%,28.3%,56.4%,23.5%,26.5%,57.7%,37.5%,61.1%,100.0%,23.5%,35.3%,53.8%,0.0%,60.0%,-,23
2025 Rome R128,L vs Raducanu,15.7%,25.2%,47.9%,16.0%,25.9%,48.5%,22.5%,53.7%,66.7%,16.1%,25.8%,46.2%,7.7%,55.6%,75.0%,3
2025 Madrid R128,W vs Martinez Cirez,11.0%,19.8%,54.4%,13.8%,21.5%,53.6%,21.4%,24.3%,50.0%,4.2%,16.7%,56.5%,7.7%,9.1%,100.0%,-74
2025 BJK Cup Qualifiers RR,W vs Monroy,11.4%,34.3%,61.3%,8.0%,40.0%,65.2%,41.7%,30.8%,0.0%,20.0%,20.0%,50.0%,0.0%,42.9%,-,-104
2025 Merida QF,L vs Avanesyan,13.2%,17.1%,34.5%,13.7%,19.6%,36.4%,43.5%,57.1%,50.0%,17.6%,17.6%,28.6%,18.2%,100.0%,100.0%,19
2025 Australian Open R128,L vs Pegula,15.0%,21.7%,39.6%,10.5%,15.8%,38.2%,33.3%,45.0%,66.7%,26.3%,36.8%,42.9%,27.3%,25.0%,0.0%,61
Last 52 Weeks (18 matches),,18.0%,26.4%,47.2%,19.3%,29.1%,49.8%,41.9%,43.7%,61.8%,18.0%,24.7%,41.9%,25.7%,46.4%,50.0%,43
Career (23 matches),,17.8%,25.9%,46.7%,19.5%,28.9%,48.5%,39.7%,44.1%,56.0%,17.1%,23.6%,43.3%,23.4%,45.8%,45.2%,51
