Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 Dubai R64,L vs Shnaider,70.6%,44.4%,11.8%,5/1,2.54,4.4%,71.0%,36.4%,9.7%,2.47,6.9%,93.3%,57.1%,20.0%,2.66,0.0%
2026 Doha R64,L vs Noskova,62.5%,42.9%,8.9%,2/3,2.56,5.9%,56.7%,58.8%,6.7%,2.51,10.5%,85.7%,27.8%,14.3%,2.62,0.0%
2026 Australian Open R128,L vs Valentova,52.3%,58.8%,13.8%,2/7,2.35,10.7%,47.7%,57.1%,11.4%,2.35,14.3%,86.7%,61.5%,26.7%,2.34,0.0%
2026 Adelaide QF,L vs Andreeva,61.7%,44.8%,6.4%,1/2,2.18,9.1%,65.5%,42.1%,3.4%,2.33,15.4%,76.9%,50.0%,15.4%,1.97,0.0%
2026 United Cup QF,L vs Swiatek,74.4%,31.0%,12.8%,2/3,2.47,3.4%,78.6%,31.8%,7.1%,2.60,6.3%,70.0%,28.6%,30.0%,2.32,0.0%
2025 Hong Kong QF,W vs Sakatsume,70.7%,50.0%,4.9%,1/3,2.46,3.1%,71.4%,42.9%,6.1%,2.55,4.5%,76.7%,60.9%,3.3%,2.26,0.0%
2025 Hong Kong R16,W vs Morvayova,70.2%,67.5%,3.5%,2/0,2.94,12.1%,72.7%,58.3%,6.1%,2.93,15.8%,80.0%,81.3%,0.0%,2.95,7.1%
2025 Beijing R128,W vs Jimenez Kasintseva,71.4%,65.0%,0.0%,0/0,2.33,0.0%,80.6%,60.0%,0.0%,2.32,0.0%,75.0%,73.3%,0.0%,2.34,0.0%
2025 Seoul SF,L vs Swiatek,70.0%,42.9%,4.0%,1/1,2.57,0.0%,68.4%,30.8%,5.3%,2.58,0.0%,100.0%,77.8%,0.0%,2.57,0.0%
2025 Seoul R16,W vs Kenin,74.1%,55.8%,3.4%,0/2,2.50,7.7%,80.6%,44.0%,3.2%,2.78,5.9%,90.0%,72.2%,5.0%,1.97,11.1%
2025 US Open R64,L vs Anisimova,52.5%,50.0%,9.8%,5/1,2.67,0.0%,51.1%,52.2%,4.4%,2.63,0.0%,64.3%,44.4%,28.6%,2.76,0.0%
2025 US Open R128,W vs Jimenez Kasintseva,69.7%,58.5%,1.3%,0/1,2.17,0.0%,70.5%,64.5%,2.3%,2.04,0.0%,84.6%,50.0%,0.0%,2.46,0.0%
2025 Eastbourne F,W vs Eala,77.1%,55.4%,2.1%,1/1,2.76,2.5%,82.1%,52.7%,1.5%,2.76,4.4%,67.9%,63.2%,3.6%,2.76,0.0%
2025 Eastbourne R32,W vs Jabeur,79.3%,60.9%,2.3%,0/2,2.44,47.4%,81.1%,58.1%,3.8%,2.39,52.2%,86.7%,65.4%,0.0%,2.53,40.0%
2025 Rabat F,W vs Cristian,72.2%,66.7%,1.9%,1/0,2.41,10.5%,75.9%,59.1%,3.4%,2.36,15.4%,85.0%,76.5%,0.0%,2.50,0.0%
2025 Rome R128,L vs Raducanu,74.5%,46.1%,7.8%,3/5,2.43,4.3%,73.0%,41.3%,6.3%,2.49,5.9%,85.7%,53.3%,11.4%,2.28,0.0%
2025 Madrid R128,W vs Martinez Cirez,72.4%,52.4%,1.1%,1/0,2.39,0.0%,73.2%,51.2%,1.8%,2.49,0.0%,88.0%,54.5%,0.0%,2.16,0.0%
2025 BJK Cup Qualifiers RR,W vs Monroy,90.0%,80.6%,0.0%,0/0,2.14,12.9%,87.5%,66.7%,0.0%,2.04,17.4%,100.0%,100.0%,0.0%,2.42,0.0%
2025 Merida QF,L vs Avanesyan,74.7%,56.5%,1.2%,0/1,2.45,0.0%,78.5%,52.9%,0.0%,2.50,0.0%,78.6%,72.7%,7.1%,2.29,0.0%
2025 Australian Open R128,L vs Pegula,70.3%,30.8%,2.7%,1/0,2.34,10.4%,68.0%,29.4%,4.0%,2.25,11.8%,81.8%,33.3%,0.0%,2.54,7.1%
Last 52 Weeks (18 matches),,70.5%,54.4%,5.1%,45.8%,2.46,6.3%,71.4%,50.4%,4.6%,2.46,8.2%,82.8%,61.4%,7.1%,2.44,2.7%
Career (23 matches),,69.9%,53.9%,5.1%,46.7%,2.45,5.7%,71.3%,50.2%,4.4%,2.46,7.4%,82.2%,60.8%,7.5%,2.43,2.4%
