Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1989,266,2,,,,,,,,,,,,
1988,135,6,71,1724,75,1627,,,51,1654,,,,
1987,23,31,46,1803,50,1685,,,33,1715,,,,
1986,18,32,17,1950,17,1837,32,1763,12,1865,,,,
1985,,,15,2003,17,1872,,,11,1909,,,,
1984,5,,10,1997,10,1863,27,1788,9,1886,,,,
1983,,,9,2050,10,1838,16,1879,7,1949,,,,
1982,,,9,2013,13,1801,10,1899,7,1909,,,,
1981,,,8,2030,9,1820,10,1899,7,1959,,,,
1980,,,6,2061,7,1863,7,1910,5,1958,,,,
1979,,,5,2004,6,1832,5,1869,6,1887,,,,
1978,,,9,1932,7,1768,7,1849,7,1818,,,,
1977,,,11,1935,8,1759,6,1866,11,1788,,,,
1976,,,20,1820,37,1638,23,1749,23,1704,,,,
1975,,,65,1664,76,1498,76,1571,48,1618,,,,
1974,,,93,1553,66,1487,91,1501,66,1551,,,,
1973,,,51,1704,41,1585,60,1602,35,1669,,,,
1972,,,74,1579,,,75,1530,66,1510,,,,
