Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,201,121,80,60.2%,247-180,57.8%,2002-1749,53.4%,19-16,54.3%,0,,,,,,,,,,,
Clay,150,94,56,62.7%,195-120,61.9%,1499-1199,55.6%,11-13,45.8%,0,,,,,,,,,,,
Grass,282,185,97,65.6%,370-217,63.0%,2919-2311,55.8%,24-17,58.5%,0,,,,,,,,,,,
Carpet,306,197,109,64.4%,390-223,63.6%,2955-2376,55.4%,31-42,42.5%,0,,,,,,,,,,,
Grand Slams,148,99,49,66.9%,197-120,62.1%,1550-1274,54.9%,12-7,63.2%,0,,,,,,,,,,,
Premiers,4,3,1,75.0%,5-2,71.4%,38-30,55.9%,1-0,100.0%,0,,,,,,,,,,,
Finals,42,18,24,42.9%,35-46,43.2%,346-385,47.3%,2-8,20.0%,0,,,,,,,,,,,
Semi-finals,92,33,59,35.9%,78-107,42.2%,754-875,46.3%,4-21,16.0%,0,,,,,,,,,,,
Quarter-finals,167,91,76,54.5%,180-167,51.9%,1550-1516,50.6%,24-23,51.1%,0,,,,,,,,,,,
vs Righties,527,307,220,58.3%,618-457,57.5%,5008-4410,53.2%,51-53,49.0%,0,,,,,,,,,,,
vs Lefties,98,47,51,48.0%,88-108,44.9%,820-918,47.2%,13-12,52.0%,0,,,,,,,,,,,
vs Top 10,35,6,29,17.1%,14-53,20.9%,212-362,36.9%,3-6,33.3%,0,,,,,,,,,,,
