Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2024 BJK Cup Finals RR,L vs Bronzetti,18.6%,27.1%,38.6%,28.1%,31.3%,17.4%,57.9%,30.8%,40.0%,8.7%,26.1%,61.9%,42.9%,37.5%,33.3%,-33
2023 s Hertogenbosch R16,W vs Andreescu,35.2%,40.7%,38.9%,44.8%,51.7%,37.5%,55.6%,38.7%,55.6%,21.4%,25.0%,40.9%,25.0%,25.0%,66.7%,79
2023 Roland Garros R128,L vs Mertens,9.2%,20.0%,37.3%,15.2%,30.3%,46.4%,47.4%,28.6%,42.9%,4.2%,12.5%,26.1%,40.0%,64.3%,50.0%,-83
2022 Australian Open R128,L vs Wang,8.8%,25.0%,47.5%,8.7%,26.1%,50.0%,50.0%,40.9%,16.7%,10.5%,26.3%,41.2%,33.3%,10.0%,-,-14
2021 BJK Cup Finals RR,W vs Suarez Navarro,35.5%,52.6%,59.1%,38.6%,68.2%,77.8%,60.0%,37.5%,50.0%,37.0%,37.0%,29.4%,18.2%,25.0%,33.3%,85
2021 Australian Open R128,L vs Sabalenka,20.0%,23.6%,28.6%,24.3%,27.0%,28.6%,57.1%,25.0%,50.0%,12.5%,18.8%,28.6%,16.7%,20.0%,0.0%,9
2019 Palermo R16,L vs Rus,15.3%,18.1%,40.0%,25.6%,28.2%,44.8%,52.4%,50.0%,100.0%,3.7%,7.4%,34.6%,23.1%,35.7%,75.0%,-84
2019 Madrid R16,L vs Halep,6.7%,6.7%,15.4%,9.1%,9.1%,0.0%,40.0%,33.3%,0.0%,5.9%,5.9%,25.0%,18.2%,50.0%,50.0%,-58
2019 Lugano R32,W vs Gatto Monticone,17.0%,32.1%,52.4%,12.5%,25.0%,46.4%,55.6%,50.0%,66.7%,26.3%,47.4%,64.3%,0.0%,75.0%,100.0%,11
2019 Miami R32,L vs Bertens,22.6%,25.8%,40.0%,25.0%,27.8%,44.4%,33.3%,47.6%,0.0%,21.7%,26.1%,33.3%,7.7%,20.0%,100.0%,35
2019 Dubai QF,L vs Kvitova,20.0%,30.0%,31.0%,21.7%,39.1%,38.9%,27.3%,50.0%,66.7%,21.4%,21.4%,18.2%,14.3%,14.3%,0.0%,84
2019 Dubai R16,W vs Kenin,26.1%,31.8%,41.7%,32.6%,41.3%,45.2%,55.0%,46.2%,0.0%,21.6%,24.3%,37.9%,20.0%,58.8%,20.0%,40
2019 Dubai R32,W vs Bertens,24.3%,26.2%,48.1%,26.9%,29.9%,57.1%,57.6%,52.9%,62.5%,21.1%,21.1%,33.3%,33.3%,30.4%,0.0%,-43
2019 Dubai R64,W vs Pera,31.9%,38.3%,46.3%,45.1%,54.9%,57.1%,58.3%,25.9%,0.0%,21.2%,24.2%,34.6%,28.6%,15.8%,25.0%,69
2019 Australian Open R64,L vs Svitolina,13.2%,28.3%,53.7%,13.8%,41.4%,56.0%,58.3%,47.1%,33.3%,15.8%,15.8%,50.0%,27.3%,62.5%,100.0%,25
2019 Australian Open R128,W vs Baindl,28.9%,43.4%,57.4%,41.3%,56.5%,51.9%,52.6%,51.9%,50.0%,13.0%,30.4%,65.0%,23.1%,20.0%,-,-4
2019 Auckland QF,W vs Anisimova,26.7%,31.4%,40.4%,27.5%,35.3%,54.1%,57.7%,64.0%,66.7%,31.0%,31.0%,15.0%,20.0%,26.3%,-,103
2018 ITF Dubai F,L vs Peng,17.2%,22.4%,42.5%,28.1%,37.5%,52.2%,44.4%,42.9%,66.7%,5.6%,5.6%,29.4%,22.2%,44.4%,100.0%,-74
2018 ITF Dubai SF,W vs Rodina,34.3%,45.7%,65.0%,42.1%,47.4%,54.5%,50.0%,44.4%,0.0%,30.8%,53.8%,77.8%,0.0%,25.0%,-,122
2018 Cincinnati R64,W vs Sasnovich,45.2%,53.6%,43.2%,56.5%,65.2%,40.0%,55.6%,39.3%,50.0%,41.4%,51.7%,47.1%,46.7%,42.9%,33.3%,182
Career (26 matches),,25.2%,34.4%,45.6%,31.9%,44.0%,48.6%,51.4%,44.8%,49.5%,20.3%,27.0%,41.7%,25.9%,34.7%,38.6%,74
