Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2024 BJK Cup Finals RR,L vs Bronzetti,0.0%,-,3.8%,100.0%,17.1%,54.5%,0.0%,7.4%,20.0%,0.6%,100.0%,144,105
2023 s Hertogenbosch R16,W vs Andreescu,0.0%,-,5.9%,80.0%,20.5%,34.8%,0.0%,11.8%,31.3%,0.9%,50.0%,109,120
2023 Roland Garros R128,L vs Mertens,0.0%,-,9.2%,54.5%,16.9%,28.6%,0.0%,6.9%,18.2%,4.9%,55.6%,107,80
2022 Australian Open R128,L vs Wang,0.0%,-,5.0%,66.7%,19.8%,18.8%,9.1%,10.2%,10.0%,0.0%,-,109,49
2021 BJK Cup Finals RR,W vs Suarez Navarro,0.0%,-,5.7%,77.8%,28.6%,46.2%,0.0%,12.9%,33.3%,0.8%,0.0%,82,107
2021 Australian Open R128,L vs Sabalenka,0.0%,-,4.1%,50.0%,15.0%,21.4%,0.0%,0.0%,0.0%,0.0%,-,-16,-14
2019 Palermo R16,L vs Rus,0.0%,-,4.0%,80.0%,12.2%,14.3%,30.0%,9.7%,15.4%,2.1%,20.0%,60,63
2019 Madrid R16,L vs Halep,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,7.7%,10.0%,1.7%,50.0%,-45,-61
2019 Lugano R32,W vs Gatto Monticone,0.0%,-,9.2%,55.6%,18.6%,16.7%,0.0%,15.7%,50.0%,4.1%,50.0%,92,70
2019 Miami R32,L vs Bertens,0.0%,-,5.3%,71.4%,10.5%,22.2%,0.0%,3.8%,0.0%,3.0%,50.0%,32,20
2019 Dubai QF,L vs Kvitova,0.0%,-,3.3%,66.7%,23.3%,42.9%,0.0%,11.1%,33.3%,1.1%,0.0%,-38,-26
2019 Dubai R16,W vs Kenin,0.0%,-,4.1%,50.0%,16.7%,44.0%,0.0%,15.2%,31.6%,2.5%,42.9%,19,45
2019 Dubai R32,W vs Bertens,0.0%,-,4.7%,80.0%,15.7%,33.3%,0.0%,9.9%,13.0%,2.9%,55.6%,56,37
2019 Dubai R64,W vs Pera,0.0%,-,3.9%,100.0%,13.3%,13.6%,0.0%,10.4%,20.0%,0.9%,50.0%,46,93
2019 Australian Open R64,L vs Svitolina,0.0%,-,6.5%,85.7%,23.4%,35.7%,0.0%,3.1%,0.0%,0.5%,100.0%,96,57
2019 Australian Open R128,W vs Baindl,0.0%,-,6.7%,76.9%,22.3%,40.0%,0.0%,11.9%,24.1%,0.5%,50.0%,69,105
2019 Auckland QF,W vs Anisimova,0.0%,-,7.6%,92.9%,24.2%,42.1%,0.0%,4.8%,8.3%,1.2%,33.3%,79,88
2018 ITF Dubai F,L vs Peng,0.0%,-,8.5%,77.8%,12.1%,36.4%,0.0%,4.8%,13.3%,0.6%,100.0%,150,137
2018 ITF Dubai SF,W vs Rodina,0.0%,-,3.8%,66.7%,23.5%,33.3%,0.0%,21.4%,57.1%,4.2%,60.0%,199,202
2018 Cincinnati R64,W vs Sasnovich,0.0%,-,1.2%,50.0%,17.3%,28.6%,0.0%,10.2%,8.3%,2.5%,100.0%,106,192
Career (26 matches),,0.0%,-,5.2%,76.4%,18.2%,29.1%,10.3%,10.5%,21.8%,1.7%,50.0%,79,82
