Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Buenos Aires R16,L vs Martinez,100% (3/3),25% (1/4),0/0,0/0,44% (4/9),1/3,1/2,- (0/0),- (0/0)
2025 Buenos Aires R32,W vs Jarry,67% (14/21),17% (2/12),2/4,1/1,71% (5/7),3/4,0/0,73% (8/11),36% (4/11)
2024 US Open R128,L vs Monfils,71% (10/14),17% (1/6),1/2,0/0,50% (8/16),2/5,0/1,100% (4/4),60% (3/5)
2023 US Open R128,L vs Rinderknech,75% (9/12),0% (0/1),0/0,0/0,64% (7/11),0/3,0/1,- (0/0),- (0/0)
2023 Wimbledon R64,L vs Sinner,54% (7/13),20% (1/5),0/0,0/0,40% (4/10),0/3,0/1,- (0/0),- (0/0)
2023 Wimbledon R128,W vs Kecmanovic,48% (11/23),39% (7/18),3/5,1/1,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2023 Barcelona R64,W vs Wu,88% (7/8),45% (5/11),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2023 Indian Wells R64,L vs Ruud,33% (5/15),0% (0/1),0/0,0/0,40% (2/5),1/3,0/1,- (0/0),- (0/0)
2023 Indian Wells R128,W vs Coria,60% (6/10),55% (6/11),2/5,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Australian Open R128,W vs Krutykh,77% (20/26),33% (4/12),3/8,1/1,88% (14/16),1/2,0/0,46% (6/13),54% (7/13)
2022 Paris R64,L vs Cressy,63% (5/8),100% (1/1),0/0,0/0,43% (3/7),1/3,1/2,- (0/0),- (0/0)
2022 US Open R32,L vs Tiafoe,73% (8/11),60% (6/10),0/5,0/0,56% (10/18),1/4,0/1,50% (4/8),38% (3/8)
2022 US Open R64,W vs Popyrin,53% (16/30),18% (3/17),3/4,1/1,89% (16/18),6/6,0/0,83% (10/12),42% (5/12)
2022 Hamburg R32,L vs Ruusuvuori,41% (7/17),22% (2/9),0/0,0/0,60% (6/10),1/3,0/1,- (0/0),- (0/0)
2022 Wimbledon R64,L vs Broady,76% (16/21),42% (5/12),2/4,0/0,64% (9/14),5/8,0/1,57% (4/7),29% (2/7)
2022 Wimbledon R128,W vs Kozlov,50% (9/18),56% (9/16),3/6,1/1,75% (9/12),0/0,0/0,- (0/0),- (0/0)
2022 Queen's Club R32,L vs Querrey,45% (5/11),- (0/0),0/0,0/0,25% (1/4),0/2,0/1,- (0/0),- (0/0)
2022 Madrid R32,L vs Dimitrov,50% (3/6),0% (0/1),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2022 Monte Carlo QF,L vs Tsitsipas,53% (8/15),57% (4/7),1/3,0/0,30% (3/10),4/6,1/2,100% (5/5),40% (2/5)
2022 Indian Wells R32,L vs Isner,62% (8/13),- (0/0),0/0,0/0,33% (1/3),1/3,0/1,- (0/0),- (0/0)
2025 (2 matches),,70.8%,18.8%,50.0%,100.0%,56.3%,57.1%,50.0%,72.7%,36.4%
2024 (1 matches),,71.4%,16.7%,50.0%,-,50.0%,40.0%,0.0%,100.0%,60.0%
2023 (7 matches),,60.7%,39.0%,47.6%,66.7%,66.1%,18.2%,0.0%,46.2%,53.8%
2022 (15 matches),,58.6%,38.1%,38.7%,50.0%,60.8%,49.1%,20.0%,62.2%,40.0%
2021 (23 matches),,68.3%,45.3%,63.8%,70.0%,58.6%,54.5%,40.0%,76.5%,42.4%
Career (369 matches),,61.9%,44.0%,56.4%,56.6%,56.4%,43.8%,45.0%,58.6%,40.7%
