Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2025 Buenos Aires R16,L vs Martinez,2.6%,100.0%,12.1%,72.7%,10.2%,10.0%,25.0%,5.1%,27.3%,0.4%,0.0%,-35,-34
2025 Buenos Aires R32,W vs Jarry,0.0%,-,4.7%,80.0%,10.5%,14.7%,0.0%,5.5%,18.2%,0.6%,0.0%,-105,-74
2024 US Open R128,L vs Monfils,0.0%,-,6.8%,81.3%,6.3%,10.6%,0.0%,2.3%,12.0%,0.0%,-,-80,-76
2023 Wimbledon R64,L vs Sinner,0.0%,-,5.5%,77.8%,5.2%,7.7%,0.0%,5.2%,8.3%,0.8%,33.3%,-84,-90
2023 Barcelona R64,W vs Wu,0.0%,-,3.7%,100.0%,5.1%,10.5%,0.0%,10.0%,33.3%,2.4%,50.0%,-95,-109
2023 Monte Carlo R32,L vs Sinner,0.0%,-,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,0.0%,98,148
2023 Indian Wells R64,L vs Ruud,0.0%,-,6.5%,57.1%,7.0%,5.4%,0.0%,6.2%,35.7%,1.4%,0.0%,-75,-68
2023 Indian Wells R128,W vs Coria,0.0%,-,3.9%,50.0%,6.8%,11.4%,0.0%,2.2%,40.0%,0.0%,-,-148,-149
2023 Australian Open R128,W vs Krutykh,0.0%,-,7.2%,76.2%,15.2%,14.3%,37.5%,5.5%,17.4%,0.0%,-,-53,-30
2022 Paris R64,L vs Cressy,0.0%,-,5.7%,66.7%,6.7%,13.6%,0.0%,7.9%,14.3%,0.6%,0.0%,-107,-120
2022 Hamburg R32,L vs Ruusuvuori,0.0%,-,10.3%,83.3%,7.7%,13.6%,66.7%,3.6%,16.7%,2.1%,30.0%,-39,-45
2022 Queens Club R32,L vs Querrey,0.0%,-,3.2%,100.0%,16.3%,22.2%,0.0%,6.7%,0.0%,0.8%,100.0%,-22,-68
2022 Madrid R32,L vs Dimitrov,2.0%,0.0%,12.4%,72.7%,6.8%,0.0%,0.0%,5.8%,25.0%,0.5%,0.0%,-93,-91
2022 Monte Carlo QF,L vs Tsitsipas,0.0%,-,9.5%,73.7%,7.7%,7.7%,33.3%,4.2%,27.8%,1.5%,37.5%,-122,-117
2022 Indian Wells R32,L vs Isner,0.0%,-,7.2%,62.5%,15.0%,14.3%,0.0%,10.0%,40.0%,0.8%,100.0%,55,27
2022 Rio de Janeiro F,L vs Alcaraz,0.0%,-,9.1%,44.4%,7.7%,8.1%,0.0%,4.2%,30.0%,0.4%,0.0%,-91,-94
2022 Buenos Aires F,L vs Ruud,3.1%,66.7%,11.6%,60.0%,7.4%,8.8%,0.0%,2.5%,27.3%,3.0%,23.1%,-104,-98
2022 Australian Open R128,L vs Oconnell,0.0%,-,10.1%,58.3%,7.3%,11.7%,3.8%,5.4%,10.0%,0.8%,50.0%,-117,-84
2022 ATP Cup RR,L vs Hurkacz,1.6%,100.0%,7.8%,77.8%,4.9%,3.1%,11.1%,1.2%,9.1%,0.4%,0.0%,-34,-64
2022 ATP Cup RR,W vs Tsitsipas,1.1%,100.0%,5.8%,75.0%,6.9%,6.6%,7.1%,5.7%,35.7%,0.0%,-,-82,-63
Career (122 matches),,0.6%,71.7%,8.7%,69.2%,8.9%,13.5%,5.7%,5.9%,24.8%,1.2%,37.6%,-67,-64
