Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,25,9,16,36.0%,23-37,38.3%,266-318,45.5%,4-6,40.0%,25,59.8%,31.6%,5.3%,8.8%,60.1%,64.3%,38.0%,53.8%,42.1%,48.0%,0.91
Clay,14,4,10,28.6%,12-21,36.4%,138-164,45.7%,1-2,33.3%,14,58.8%,33.1%,3.4%,5.3%,65.9%,59.0%,43.6%,53.8%,41.7%,47.7%,0.90
Grass,3,1,2,33.3%,3-5,37.5%,33-40,45.2%,0-1,0.0%,3,58.3%,33.3%,7.5%,5.2%,58.4%,64.1%,39.6%,53.9%,41.3%,48.2%,0.90
Grand Slams,16,6,10,37.5%,16-23,41.0%,167-195,46.1%,3-4,42.9%,16,61.4%,31.3%,4.5%,5.9%,60.5%,62.6%,42.1%,54.5%,41.6%,48.2%,0.91
Premiers,6,3,3,50.0%,6-8,42.9%,62-66,48.4%,0-0,-,6,60.9%,35.9%,7.8%,10.4%,61.2%,63.8%,39.4%,54.4%,44.3%,49.2%,0.97
Internationals,14,4,10,28.6%,14-21,40.0%,152-180,45.8%,2-1,66.7%,14,58.3%,33.1%,4.6%,6.5%,63.7%,61.3%,41.1%,54.0%,42.4%,48.1%,0.92
Semi-finals,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,1,54.5%,27.3%,3.9%,16.9%,53.2%,58.5%,44.4%,51.9%,40.0%,46.1%,0.83
Quarter-finals,2,1,1,50.0%,3-3,50.0%,24-31,43.6%,0-0,-,2,55.6%,32.1%,4.7%,8.3%,64.5%,60.6%,38.3%,52.7%,40.6%,46.6%,0.86
vs Righties,39,13,26,33.3%,35-58,37.6%,402-480,45.6%,4-8,33.3%,39,59.0%,32.6%,5.0%,7.6%,61.8%,62.5%,39.7%,53.8%,41.9%,47.9%,0.91
vs Lefties,3,1,2,33.3%,3-5,37.5%,35-42,45.5%,1-1,50.0%,3,63.2%,27.0%,4.0%,6.2%,60.6%,63.9%,39.8%,54.4%,41.5%,47.9%,0.91
