Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Guadalajara SF,L vs Arango,67% (6/9),27% (3/11),0/0,0/0,58% (7/12),1/3,0/1,- (0/0),- (0/0)
2025 Wimbledon R64,L vs Bencic,50% (6/12),100% (3/3),1/1,0/0,60% (9/15),0/2,0/1,- (0/0),- (0/0)
2025 Roland Garros R32,L vs Boisson,50% (9/18),83% (5/6),1/1,0/0,60% (6/10),1/3,0/1,- (0/0),- (0/0)
2024 Wimbledon R128,L vs Stephens,50% (4/8),100% (2/2),0/0,0/0,67% (10/15),0/2,0/1,- (0/0),- (0/0)
2023 US Open R128,L vs Tsurenko,50% (7/14),33% (5/15),1/5,0/0,36% (4/11),1/3,0/1,- (0/0),- (0/0)
2021 Roland Garros R128,L vs Rybakina,50% (3/6),100% (2/2),0/0,0/0,50% (5/10),2/4,0/1,- (0/0),- (0/0)
2020 Roland Garros R128,L vs Zarazua,67% (2/3),100% (1/1),0/0,0/0,55% (6/11),1/3,1/2,- (0/0),- (0/0)
2019 W25 Macon R32,L vs Leonard,73% (8/11),33% (6/18),1/1,0/0,33% (3/9),0/2,0/1,- (0/0),- (0/0)
2019 W25 Grenoble R32,L vs Hesse,83% (5/6),100% (2/2),0/0,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2025 (3 matches),,53.8%,55.0%,100.0%,-,59.5%,25.0%,0.0%,-,-
2024 (1 matches),,50.0%,100.0%,-,-,66.7%,0.0%,0.0%,-,-
2023 (1 matches),,50.0%,33.3%,20.0%,-,36.4%,33.3%,0.0%,-,-
2021 (1 matches),,50.0%,100.0%,-,-,50.0%,50.0%,0.0%,-,-
2020 (1 matches),,66.7%,100.0%,-,-,54.5%,33.3%,50.0%,-,-
Career (9 matches),,57.5%,48.3%,50.0%,-,52.5%,25.0%,10.0%,-,-
