Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Australian Open R128,W vs Kostyuk,0.6%,0.0%,11.9%,60.0%,19.8%,25.0%,50.0%,11.9%,23.8%,1.8%,14.3%,-50,1
2025 Guadalajara SF,L vs Arango,14.9%,63.6%,17.1%,69.2%,10.6%,10.6%,20.0%,7.1%,75.0%,4.4%,23.1%,-31,11
2025 Wimbledon R64,L vs Bencic,0.0%,-,8.1%,69.2%,13.3%,20.0%,0.0%,12.1%,38.1%,2.9%,37.5%,-11,19
2025 Roland Garros R32,L vs Boisson,1.1%,100.0%,13.8%,62.5%,5.4%,8.0%,0.0%,8.8%,27.3%,2.3%,37.5%,-85,-57
2024 Wimbledon R128,L vs Stephens,0.0%,-,12.6%,46.7%,7.2%,11.1%,0.0%,12.5%,33.3%,5.7%,33.3%,9,34
2023 US Open R128,L vs Tsurenko,5.2%,25.0%,7.3%,38.5%,7.3%,1.9%,0.0%,7.9%,29.4%,1.1%,25.0%,-89,-35
2023 US Open Q3,L vs Hartono,0.0%,-,5.9%,85.7%,11.1%,14.6%,0.0%,7.1%,20.0%,1.4%,66.7%,-109,-70
2022 US Open Q1,L vs Uchijima,0.0%,-,5.6%,80.0%,10.5%,8.2%,50.0%,7.6%,50.0%,4.4%,8.7%,-134,-83
Last 52 Weeks (4 matches),,3.2%,61.5%,12.5%,64.3%,11.9%,17.0%,18.2%,10.2%,33.3%,2.8%,27.8%,-47,-8
Career (8 matches),,2.4%,52.9%,10.1%,62.8%,10.6%,12.9%,23.8%,9.2%,34.5%,3.0%,24.4%,-70,-27
