Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2014,10,4,6,40.0%,9-13,40.9%,108-119,47.6%,2-3,40.0%,10,79.8%,14.7%,8.8%,2.5%,69.3%,70.7%,49.1%,64.1%,33.6%,49.2%,0.93,QF (Marseille)
2013,28,13,15,46.4%,33-29,53.2%,308-303,50.4%,8-3,72.7%,25,82.3%,17.3%,10.5%,4.6%,61.5%,73.7%,52.8%,65.6%,34.6%,49.9%,1.01,SF (Montpellier)
2012,26,12,14,46.2%,31-36,46.3%,334-354,48.5%,10-4,71.4%,26,81.9%,13.1%,10.5%,3.0%,63.7%,73.3%,52.0%,65.6%,34.2%,49.5%,0.99,F (Marseille)
2011,39,17,22,43.6%,44-51,46.3%,445-468,48.7%,8-5,61.5%,38,81.4%,15.5%,9.6%,4.4%,62.4%,74.3%,49.5%,64.9%,33.5%,49.5%,0.96,QF (2x)
2010,51,29,22,56.9%,70-53,56.9%,629-590,51.6%,12-15,44.4%,48,83.5%,19.3%,12.9%,4.4%,62.3%,75.7%,52.1%,66.8%,34.4%,50.8%,1.04,W (2x)
2009,33,17,16,51.5%,36-37,49.3%,361-365,49.7%,9-7,56.3%,33,84.8%,14.5%,13.6%,3.9%,63.7%,76.5%,51.9%,67.5%,33.7%,50.5%,1.04,F (2x)
2008,39,18,21,46.2%,48-51,48.5%,530-549,49.1%,21-18,53.8%,37,84.1%,12.8%,11.0%,4.3%,61.0%,74.3%,53.8%,66.4%,32.8%,49.5%,0.97,W (Rotterdam)
2007,36,18,18,50.0%,44-43,50.6%,427-429,49.9%,8-10,44.4%,36,82.4%,17.5%,10.3%,4.2%,63.0%,73.2%,53.6%,66.0%,35.0%,50.4%,1.03,W (Adelaide)
2006,14,4,10,28.6%,12-22,35.3%,161-175,47.9%,2-7,22.2%,12,77.6%,20.7%,10.3%,2.5%,62.7%,71.7%,47.5%,62.7%,36.3%,49.4%,0.97,R16 (Lyon)
2005,32,10,22,31.3%,26-54,32.5%,357-421,45.9%,4-11,26.7%,32,77.1%,15.0%,7.1%,3.0%,64.3%,69.9%,51.0%,63.1%,32.4%,48.1%,0.88,F (s Hertogenbosch)
2004,32,20,12,62.5%,52-31,62.7%,435-355,55.1%,5-8,38.5%,32,86.1%,23.4%,8.1%,3.1%,64.6%,74.7%,53.6%,67.2%,37.9%,52.5%,1.16,W (s Hertogenbosch)
2003,11,2,9,18.2%,11-22,33.3%,139-188,42.5%,5-3,62.5%,11,73.8%,10.1%,9.1%,5.3%,60.5%,69.5%,46.2%,60.3%,32.1%,46.5%,0.81,R16 (Basel)
2002,28,11,17,39.3%,31-40,43.7%,336-349,49.1%,3-6,33.3%,27,79.0%,19.0%,9.1%,5.8%,60.2%,73.9%,47.8%,63.5%,35.4%,49.6%,0.97,SF (Newport)
2001,19,7,12,36.8%,21-29,42.0%,234-258,47.6%,6-4,60.0%,19,73.2%,19.7%,8.8%,7.8%,57.7%,70.5%,47.6%,60.8%,35.9%,48.7%,0.91,SF (St. Petersburg)
2000,12,5,7,41.7%,13-19,40.6%,158-165,48.9%,2-6,25.0%,12,76.1%,24.5%,8.6%,6.7%,54.6%,72.7%,48.5%,61.7%,37.5%,49.5%,0.98,R16 (2x)
Career,410,187,223,45.6%,481-530,47.6%,4962-5088,49.4%,105-110,48.8%,398,81.2%,17.0%,10.1%,4.3%,62.2%,73.5%,51.1%,65.0%,34.5%,49.8%,0.99,
