Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,18,5,13,27.8%,7,2,5,28.6%,2000,2014,R32,18,0.86,7.9%,4.8%,61.0%,69.5%,45.7%,60.2%,34.3%,55.3%,34.7%
Roland Garros,15,Clay,25,10,15,40.0%,15,8,7,53.3%,2000,2014,R16,25,0.87,7.4%,3.6%,60.8%,70.8%,48.8%,62.2%,33.1%,62.1%,39.5%
Wimbledon,13,Grass,25,12,13,48.0%,18,7,11,38.9%,2000,2013,R16,22,1.10,11.9%,3.9%,64.3%,75.6%,54.3%,68.0%,35.3%,62.6%,31.0%
US Open,15,Hard,30,15,15,50.0%,17,8,9,47.1%,2000,2014,R16,21,0.96,7.7%,4.6%,62.7%,71.3%,52.5%,64.3%,34.3%,52.5%,35.8%
Olympics,1,,2,1,1,50.0%,1,1,0,100.0%,2008,2008,R32,2,0.94,14.0%,3.9%,64.3%,72.9%,52.7%,65.7%,32.4%,57.1%,28.6%
Davis Cup,5,,9,4,5,44.4%,8,4,4,50.0%,2006,2013,,0,,,,,,,,,,
Miami Masters,10,Hard,16,6,10,37.5%,7,2,5,28.6%,2003,2013,R32,16,1.04,9.5%,4.1%,62.2%,73.4%,50.0%,64.5%,36.7%,66.3%,44.7%
Canada Masters,10,Hard,15,5,10,33.3%,11,5,6,45.5%,2000,2014,R16,13,0.87,9.7%,5.1%,61.1%,72.7%,49.9%,63.8%,31.4%,65.1%,36.2%
Marseille,9,Hard,27,19,8,70.4%,22,16,6,72.7%,2005,2014,W,27,1.15,16.6%,4.8%,61.7%,79.8%,56.8%,71.0%,33.4%,74.5%,35.6%
Paris Masters,9,Hard,18,9,9,50.0%,13,6,7,46.2%,2000,2013,SF,18,1.06,12.7%,5.4%,59.2%,78.5%,50.2%,67.0%,35.2%,64.4%,37.5%
Queen's Club,8,Grass,18,10,8,55.6%,5,1,4,20.0%,2000,2013,QF,17,1.24,12.1%,5.8%,61.7%,76.9%,55.2%,68.6%,38.8%,66.1%,42.9%
Indian Wells Masters,8,Hard,15,7,8,46.7%,3,2,1,66.7%,2005,2013,R32,14,0.96,8.1%,3.2%,61.8%,69.0%,53.4%,63.0%,35.7%,54.9%,35.3%
