Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,249,113,136,45.4%,286-310,48.0%,2922-3018,49.2%,70-61,53.4%,241,81.6%,16.0%,10.6%,4.4%,62.0%,74.2%,51.2%,65.5%,34.2%,49.8%,0.99
Clay,60,20,40,33.3%,64-107,37.4%,751-885,45.9%,12-13,48.0%,59,73.6%,17.9%,6.7%,3.9%,60.1%,68.0%,48.2%,60.1%,33.9%,47.6%,0.85
Grass,74,44,30,59.5%,106-76,58.2%,988-850,53.8%,15-23,39.5%,72,87.2%,20.0%,11.9%,4.3%,63.8%,76.5%,55.0%,68.7%,36.2%,52.0%,1.16
Carpet,27,10,17,37.0%,25-37,40.3%,301-335,47.3%,8-13,38.1%,26,80.2%,15.1%,10.3%,4.6%,65.1%,73.0%,47.7%,64.2%,33.2%,48.8%,0.93
Grand Slams,86,34,52,39.5%,128-169,43.1%,1404-1501,48.3%,20-28,41.7%,86,79.4%,16.9%,8.7%,4.2%,62.1%,71.9%,50.3%,63.7%,34.2%,49.0%,0.94
Masters,96,35,61,36.5%,92-121,43.2%,1003-1093,47.9%,20-25,44.4%,95,77.4%,17.7%,8.7%,4.3%,61.0%,70.8%,49.6%,62.6%,34.7%,48.9%,0.93
Other Tours,219,114,105,52.1%,250-226,52.5%,2429-2355,50.8%,61-53,53.5%,217,84.1%,16.7%,11.7%,4.4%,62.8%,75.6%,52.3%,67.0%,34.6%,50.7%,1.05
Best of 5,90,36,54,40.0%,134-177,43.1%,1476-1578,48.3%,21-31,40.4%,86,79.4%,16.9%,8.7%,4.2%,62.1%,71.9%,50.3%,63.7%,34.2%,49.0%,0.94
Best of 3,320,151,169,47.2%,347-353,49.6%,3486-3510,49.8%,84-79,51.5%,312,82.1%,17.0%,10.7%,4.4%,62.2%,74.2%,51.4%,65.6%,34.6%,50.1%,1.01
Finals,10,5,5,50.0%,10-11,47.6%,108-108,50.0%,1-2,33.3%,10,84.3%,15.2%,11.7%,3.6%,61.1%,75.7%,54.9%,67.6%,31.8%,50.0%,0.98
Semi-finals,16,10,6,62.5%,24-14,63.2%,211-189,52.8%,8-3,72.7%,16,88.4%,14.7%,15.9%,4.1%,63.6%,82.2%,54.5%,72.1%,34.5%,52.6%,1.24
Quarter-finals,27,16,11,59.3%,34-23,59.6%,304-280,52.1%,11-6,64.7%,27,86.0%,16.8%,12.4%,3.9%,63.6%,75.9%,53.5%,67.7%,34.3%,51.0%,1.06
vs Righties,368,164,204,44.6%,427-480,47.1%,4439-4597,49.1%,98-97,50.3%,357,80.9%,16.8%,9.9%,4.4%,62.1%,73.5%,50.8%,64.9%,34.3%,49.7%,0.98
vs Lefties,42,23,19,54.8%,54-50,51.9%,523-491,51.6%,7-13,35.0%,41,84.1%,19.1%,11.8%,3.5%,63.2%,73.3%,53.7%,66.1%,35.8%,50.8%,1.05
vs Top 10,53,13,40,24.5%,40-92,30.3%,593-744,44.4%,12-18,40.0%,51,78.0%,9.6%,8.8%,4.2%,60.2%,72.2%,48.6%,62.8%,30.3%,46.8%,0.81
