Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2014 US Open R64,L vs Kohlschreiber,5,6,0.8,10.2%,12.2%,5,6,0.8,11.6%,14.0%,11.6%,0.0%,1.9,30.6%,16.3%
2014 US Open R128,W vs Gimeno Traver,31,13,2.4,17.2%,7.2%,26,13,2.0,15.7%,7.8%,10.2%,4.8%,1.3,16.1%,12.8%
2014 Roland Garros R128,L vs Verdasco,38,36,1.1,16.5%,15.6%,32,33,1.0,14.8%,15.3%,6.5%,6.5%,2.3,18.2%,7.8%
2013 US Open R128,L vs Murray,24,29,0.8,15.8%,19.1%,22,23,1.0,15.6%,16.3%,,,6.8,22.4%,3.3%
2013 Roland Garros R64,L vs Raonic,43,26,1.7,16.2%,9.8%,29,22,1.3,13.2%,10.0%,,,1.8,27.8%,15.4%
2013 Roland Garros R128,W vs Darcis,59,46,1.3,24.3%,18.9%,42,40,1.1,19.4%,18.5%,,,1.9,14.4%,7.4%
2013 Australian Open R128,L vs Tsonga,20,28,0.7,11.8%,16.5%,15,25,0.6,10.3%,17.1%,,,2.1,22.4%,10.6%
2012 Paris Masters SF,L vs Ferrer,33,13,2.5,20.2%,8.0%,28,12,2.3,18.2%,7.8%,6.5%,11.0%,4.1,20.2%,4.9%
2012 Paris Masters R16,W vs Del Potro,23,9,2.6,22.8%,8.9%,15,8,1.9,17.4%,9.3%,11.6%,5.8%,0.9,13.9%,15.8%
2012 US Open R128,L vs Kohlschreiber,44,42,1.0,17.2%,16.4%,33,37,0.9,14.3%,16.1%,,,2.4,18.4%,7.8%
2012 Roland Garros R64,L vs Berdych,23,12,1.9,15.6%,8.2%,19,11,1.7,14.2%,8.2%,,,7.0,28.6%,4.1%
2012 Roland Garros R128,W vs Garcia Lopez,52,36,1.4,19.7%,13.6%,40,34,1.2,17.5%,14.9%,,,1.2,13.6%,11.4%
2012 Australian Open R32,L vs Murray,18,23,0.8,11.6%,14.8%,16,20,0.8,11.3%,14.2%,,,4.4,31.0%,7.1%
2011 Wimbledon R16,L vs Djokovic,27,21,1.3,17.5%,13.6%,19,14,1.4,14.7%,10.9%,8.5%,6.2%,5.3,20.8%,3.9%
2011 Wimbledon R128,W vs Ward,32,15,2.1,15.8%,7.4%,22,11,2.0,12.7%,6.4%,7.5%,4.0%,1.3,17.2%,12.8%
2011 Roland Garros R128,L vs Darcis,38,37,1.0,16.1%,15.7%,27,31,0.9,12.9%,14.8%,6.7%,5.2%,1.8,20.3%,11.4%
2011 Australian Open R64,L vs Raonic,25,20,1.3,12.3%,9.9%,15,18,0.8,8.9%,10.7%,,,2.5,24.1%,9.9%
2011 Australian Open R128,W vs Chela,66,39,1.7,29.9%,17.6%,57,34,1.7,28.6%,17.1%,,,1.1,10.0%,9.0%
2010 Paris Masters SF,L vs Soderling,57,33,1.7,23.4%,13.5%,32,27,1.2,16.8%,14.2%,6.8%,10.0%,1.2,18.4%,15.2%
2009 Marseille F,L vs Tsonga,27,15,1.8,18.1%,10.1%,20,10,2.0,15.9%,7.9%,5.6%,9.5%,5.6,18.8%,3.4%
Career (20 matches),,685,499,1.4,18.1%,13.2%,514,429,1.2,15.5%,12.9%,3.4%,3.0%,2.1,19.7%,9.6%
