Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2025,10,4,6,40.0%,6-12,33.3%,69-86,44.5%,0-0,-,10,54.3%,37.0%,1.4%,3.7%,72.3%,55.8%,46.3%,53.2%,44.6%,48.8%,0.95,QF (W35 Santa Margherita di Pula)
2024,4,1,3,25.0%,3-4,42.9%,31-35,47.0%,0-1,0.0%,0,,,,,,,,,,,,R16 (W35 Santa Margherita di Pula)
2023,32,19,13,59.4%,44-30,59.5%,363-325,52.8%,1-3,25.0%,0,,,,,,,,,,,,F (W25 Santa Margherita di Pula)
2022,46,29,17,63.0%,61-37,62.2%,496-390,56.0%,2-3,40.0%,0,,,,,,,,,,,,W (2x)
2021,33,21,12,63.6%,45-29,60.8%,372-297,55.6%,2-1,66.7%,0,,,,,,,,,,,,F (3x)
2019,28,12,16,42.9%,27-36,42.9%,290-316,47.9%,2-8,20.0%,0,,,,,,,,,,,,SF (W15 Solarino)
2018,33,19,14,57.6%,44-34,56.4%,368-319,53.6%,2-1,66.7%,0,,,,,,,,,,,,W (Antalya $15K)
2017,35,20,15,57.1%,47-35,57.3%,395-362,52.2%,4-2,66.7%,0,,,,,,,,,,,,F (2x)
2016,19,11,8,57.9%,23-20,53.5%,199-186,51.7%,1-1,50.0%,0,,,,,,,,,,,,F (Tarvisio $10K)
2015,18,10,8,55.6%,20-18,52.6%,174-164,51.5%,2-3,40.0%,0,,,,,,,,,,,,F (Solarino $10K)
2014,7,1,6,14.3%,2-12,14.3%,48-78,38.1%,0-0,-,0,,,,,,,,,,,,R16 (Santa Margherita Di Pula 10K)
Career,265,147,118,55.5%,322-267,54.7%,2805-2558,52.3%,16-23,41.0%,10,54.3%,37.0%,1.4%,3.7%,72.3%,55.8%,46.3%,53.2%,44.6%,48.8%,0.95,
