Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,4,Hard,13,9,4,69.2%,2,0,2,0.0%,2023,2026,R128,13,1.11,0.6%,3.7%,70.8%,59.4%,52.1%,57.2%,47.3%,52.3%,54.4%
Roland Garros,2,Clay,9,7,2,77.8%,2,1,1,50.0%,2023,2025,R64,9,1.12,0.5%,3.5%,72.6%,56.9%,50.3%,55.1%,50.5%,47.1%,59.8%
Wimbledon,3,Grass,3,0,3,0.0%,1,0,1,0.0%,2022,2024,Q1,3,0.67,3.1%,4.4%,70.6%,54.9%,44.7%,51.9%,32.3%,52.4%,27.3%
US Open,4,Hard,7,3,4,42.9%,0,0,0,-,2022,2025,R128,7,0.86,0.0%,3.8%,65.3%,56.5%,40.9%,51.1%,42.3%,38.2%,44.1%
Prague,2,Hard,4,2,2,50.0%,2,2,0,100.0%,2024,2025,QF,4,0.95,0.3%,6.3%,69.6%,54.5%,50.5%,53.3%,44.3%,40.0%,64.3%
Makarska 125,2,Clay,6,5,1,83.3%,0,0,0,-,2023,2025,W,5,1.17,0.0%,4.6%,71.9%,60.2%,36.0%,53.4%,54.6%,52.1%,52.3%
Madrid,2,Clay,8,6,2,75.0%,0,0,0,-,2024,2025,R16,8,1.10,0.7%,3.4%,72.4%,60.2%,48.1%,56.9%,47.4%,56.7%,43.9%
Buenos Aires 125,2,Clay,5,3,2,60.0%,1,1,0,100.0%,2022,2024,SF,5,1.04,0.0%,2.9%,74.3%,54.5%,49.0%,53.1%,48.6%,45.2%,38.7%
Colina 125,3,Clay,11,9,2,81.8%,1,1,0,100.0%,2022,2024,W,11,1.27,0.4%,4.6%,72.0%,61.9%,54.5%,59.9%,51.0%,50.0%,45.1%
Ljubljana 125,2,Clay,4,2,2,50.0%,0,0,0,-,2023,2024,R16,4,1.06,1.5%,3.8%,65.8%,59.1%,41.6%,53.1%,49.8%,57.9%,47.5%
