Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Miami R128,L vs Gibson,5,16,0.3,5.4%,17.4%,5,10,0.5,6.3%,12.7%,3.8%,2.5%,1.2,30.4%,25.0%
2026 Abu Dhabi F,W vs Alexandrova,16,20,0.8,12.1%,15.2%,12,18,0.7,9.8%,14.6%,6.5%,3.3%,0.4,9.8%,28.0%
2026 Abu Dhabi SF,W vs Tauson,28,26,1.1,12.8%,11.9%,28,25,1.1,13.3%,11.8%,6.2%,6.6%,0.9,18.3%,21.1%
2026 Auckland R16,L vs Jovic,16,24,0.7,11.3%,17.0%,15,21,0.7,11.3%,15.8%,6.8%,4.5%,0.8,17.0%,22.0%
2024 Madrid R16,L vs Rybakina,18,27,0.7,14.9%,22.3%,17,21,0.8,14.9%,18.4%,10.5%,4.4%,0.8,17.4%,21.5%
2023 W40 The Hague F,L vs Rus,14,25,0.6,14.6%,26.0%,14,20,0.7,15.6%,22.2%,6.7%,8.9%,0.7,21.9%,33.3%
2023 Roland Garros R128,L vs Rakhimova,9,28,0.3,11.0%,34.1%,9,24,0.4,12.3%,32.9%,8.2%,4.1%,0.5,8.5%,17.1%
2023 Australian Open R128,L vs Krejcikova,8,21,0.4,8.0%,21.0%,8,15,0.5,8.9%,16.7%,2.2%,5.6%,1.6,22.0%,14.0%
2022 US Open R128,L vs Samsonova,9,28,0.3,8.6%,26.7%,9,25,0.4,9.3%,25.8%,4.1%,5.2%,0.9,18.1%,21.0%
2022 W60 Olomouc F,W vs Gjorcheska,17,17,1.0,14.5%,14.5%,17,14,1.2,15.7%,13.0%,10.2%,5.6%,0.5,12.8%,25.6%
Career (10 matches),,140,232,0.6,11.6%,19.3%,134,193,0.7,12.0%,17.3%,6.6%,5.2%,0.8,17.4%,22.8%
