Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2013,1486,2,,,,,,,,,,,,
2012,1089,6,,,,,,,,,,,,
2011,706,23,,,,,,,,,872,32,,
2010,417,91,214,1528,157,1534,203,1490,179,1442,572,75,,
2009,141,374,162,1593,130,1585,151,1549,153,1484,169,393,,
2008,253,151,176,1582,143,1561,163,1542,161,1480,209,281,,
2007,136,323,103,1680,81,1653,99,1638,116,1530,280,190,121,1472
2006,21,1238,35,1838,35,1788,43,1767,61,1625,70,730,90,1558
2005,18,1490,21,1912,13,1879,30,1799,54,1660,38,1261,68,1621
2004,14,1380,38,1833,26,1814,50,1752,78,1591,55,1124,76,1591
2003,61,584,82,1731,82,1664,61,1719,125,1518,65,790,84,1551
2002,51,726,64,1780,71,1701,48,1777,104,1552,127,420,106,1504
2001,36,1005,60,1802,54,1744,48,1766,110,1566,58,1035,,
2000,17,1395,20,1923,24,1847,17,1888,62,1644,16,2285,,
1999,21,1499,57,1815,64,1737,46,1802,103,1566,145,456,,
1998,46,884,46,1840,69,1706,36,1836,89,1587,222,290,,
1997,40,952,43,1859,73,1727,29,1872,82,1597,198,310,,
1996,78,608,85,1787,174,1543,42,1819,,,221,264,,
1995,315,,,,,,,,,,539,60,,
1994,881,,,,,,,,,,849,18,,
