Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,38,12,26,31.6%,36-65,35.6%,423-516,45.0%,5-4,55.6%,38,70.2%,19.5%,5.8%,4.2%,60.3%,67.8%,46.6%,59.4%,35.8%,47.7%,0.88
Clay,35,18,17,51.4%,43-45,48.9%,402-422,48.8%,6-5,54.5%,32,64.3%,31.2%,3.6%,3.4%,62.1%,61.4%,47.4%,56.1%,41.3%,48.9%,0.94
Grass,9,2,7,22.2%,6-16,27.3%,94-120,43.9%,0-2,0.0%,9,71.7%,16.5%,4.7%,3.7%,64.4%,66.4%,45.8%,59.0%,36.1%,47.4%,0.88
Grand Slams,17,4,13,23.5%,18-42,30.0%,241-320,43.0%,2-2,50.0%,17,66.3%,19.7%,4.3%,4.6%,61.1%,64.0%,47.6%,57.6%,36.7%,47.1%,0.87
Masters,3,1,2,33.3%,3-4,42.9%,29-38,43.3%,1-0,100.0%,3,55.9%,28.1%,4.3%,4.3%,63.2%,62.3%,41.2%,54.5%,40.8%,48.0%,0.90
Other Tours,58,24,34,41.4%,55-76,42.0%,576-647,47.1%,7-8,46.7%,58,69.5%,24.3%,5.0%,3.4%,61.5%,65.8%,46.8%,58.5%,38.0%,48.4%,0.91
Best of 5,20,6,14,30.0%,25-46,35.2%,300-362,45.3%,2-3,40.0%,18,66.6%,22.0%,4.3%,4.6%,61.3%,63.8%,47.6%,57.5%,37.6%,47.5%,0.89
Best of 3,62,26,36,41.9%,60-80,42.9%,619-696,47.1%,9-8,52.9%,61,68.8%,24.5%,5.0%,3.5%,61.6%,65.6%,46.5%,58.2%,38.1%,48.4%,0.91
Finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,0.0%,1.7%,63.8%,51.4%,52.4%,51.7%,33.3%,42.6%,0.69
Semi-finals,1,1,0,100.0%,2-1,66.7%,15-9,62.5%,0-0,-,1,66.7%,58.3%,2.5%,3.8%,62.5%,58.0%,53.3%,56.3%,51.9%,54.1%,1.19
Quarter-finals,5,1,4,20.0%,3-9,25.0%,38-64,37.3%,0-0,-,5,54.7%,18.4%,3.4%,5.6%,57.1%,63.7%,40.1%,53.6%,34.3%,44.5%,0.74
vs Righties,70,29,41,41.4%,78-106,42.4%,819-909,47.4%,10-9,52.6%,67,69.2%,24.4%,5.1%,3.7%,61.3%,65.5%,47.1%,58.4%,38.6%,48.6%,0.93
vs Lefties,12,3,9,25.0%,7-20,25.9%,100-149,40.2%,1-2,33.3%,12,60.8%,19.0%,2.8%,4.7%,62.7%,61.9%,44.7%,55.5%,33.3%,44.9%,0.75
vs Top 10,3,0,3,0.0%,1-7,12.5%,23-46,33.3%,0-0,-,3,54.3%,11.8%,3.8%,3.8%,57.2%,54.8%,44.6%,50.4%,33.2%,42.2%,0.67
