Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 Australian Open R128,L vs Auger Aliassime,8,32,0.3,5.6%,22.2%,8,32,0.3,6.1%,24.2%,,,0.8,12.5%,16.0%
2020 Australian Open R128,L vs Paire,30,39,0.8,9.4%,12.3%,30,39,0.8,10.8%,14.1%,,,0.9,17.3%,19.8%
2019 Hamburg CH QF,L vs Van De Zandschulp,9,31,0.3,7.4%,25.4%,9,30,0.3,8.1%,27.0%,7.2%,0.9%,0.6,13.1%,23.8%
2019 US Open R64,L vs Cilic,23,33,0.7,9.4%,13.5%,12,30,0.4,5.8%,14.5%,3.4%,2.4%,0.9,20.0%,21.2%
2019 US Open R128,W vs Krajinovic,33,48,0.7,13.4%,19.4%,26,41,0.6,11.4%,17.9%,7.9%,3.5%,0.5,9.7%,21.5%
2019 Gstaad F,L vs Ramos,16,29,0.6,14.7%,26.6%,16,28,0.6,14.8%,25.9%,13.0%,1.9%,0.8,14.7%,17.4%
2019 Gstaad SF,W vs Sousa,16,29,0.6,10.5%,19.0%,14,26,0.5,9.7%,18.1%,7.6%,2.1%,0.4,11.1%,24.8%
2019 Gstaad R32,W vs Moutet,13,18,0.7,11.7%,16.2%,13,17,0.8,12.7%,16.7%,10.8%,2.0%,0.6,12.6%,20.7%
2019 Wimbledon R128,L vs Opelka,16,29,0.6,8.9%,16.1%,14,24,0.6,8.8%,15.1%,3.8%,5.0%,1.9,20.0%,10.6%
2019 Roland Garros R128,L vs Khachanov,17,25,0.7,11.3%,16.6%,17,25,0.7,12.5%,18.4%,,,1.1,11.3%,10.6%
2018 Australian Open R128,L vs Marterer,22,31,0.7,14.2%,20.0%,22,31,0.7,15.8%,22.3%,,,1.1,12.3%,11.0%
2017 Marburg CH F,L vs Krajinovic,17,23,0.7,16.7%,22.5%,16,21,0.8,17.0%,22.3%,11.7%,5.3%,2.1,18.6%,8.8%
2017 Sofia R16,L vs Bautista Agut,19,28,0.7,14.0%,20.6%,16,25,0.6,12.8%,20.0%,10.4%,1.6%,0.6,11.8%,19.1%
2012 Roland Garros R64,L vs Tsonga,23,49,0.5,10.8%,23.0%,20,44,0.5,10.1%,22.2%,,,0.8,13.1%,16.4%
2012 Australian Open R128,L vs Hewitt,59,64,0.9,21.0%,22.8%,46,58,0.8,18.3%,23.0%,,,0.9,10.3%,11.7%
Career (15 matches),,321,508,0.6,12.0%,19.0%,279,471,0.6,11.6%,19.5%,4.1%,1.5%,0.8,14.0%,17.1%
